episode,episode_reward,episode_length,loss,found_sources,total_sources,found_source_ratio,success,partial_success,battery,collision,concentration,distance,failure_done,found_bonus,found_source_stay,success_done
1,15.993509,688,1.261466,3,5,0.600000,0,1,-0.000291,-0.004360,0.015536,-0.000592,-0.007267,0.021802,-0.001581,0.000000
2,25.808947,683,1.525266,3,8,0.375000,0,1,-0.000293,-0.005857,0.030759,-0.000200,-0.007321,0.021962,-0.001263,0.000000
3,12.288649,684,2.698804,6,7,0.857143,0,1,-0.000292,-0.032164,0.020878,0.000286,-0.007310,0.043860,-0.007292,0.000000
4,-16.056821,687,1.450589,3,6,0.500000,0,1,-0.000291,-0.064774,0.025536,0.002311,-0.007278,0.021834,-0.000710,0.000000
5,-24.373713,688,0.486576,0,1,0.000000,0,0,-0.000291,-0.025073,0.000833,-0.003629,-0.007267,0.000000,0.000000,0.000000
6,-19.465599,682,1.390787,2,4,0.500000,0,1,-0.000293,-0.069648,0.035515,-0.001282,-0.007331,0.014663,-0.000165,0.000000
7,-61.813968,689,1.861945,0,5,0.000000,0,0,-0.000290,-0.093614,0.012250,-0.000804,-0.007257,0.000000,0.000000,0.000000
8,12.187695,690,1.070420,2,3,0.666667,0,1,-0.000290,0.000000,0.012355,-0.001485,-0.007246,0.014493,-0.000163,0.000000
9,126.144615,385,76.314041,1,1,1.000000,1,1,-0.000293,0.000000,0.000199,0.003067,0.000000,0.012987,0.000000,0.311688
10,-0.129379,690,0.805315,2,3,0.666667,0,1,-0.000290,-0.012681,0.005183,0.001006,-0.007246,0.014493,-0.000652,0.000000
11,-17.138524,683,0.282629,0,2,0.000000,0,0,-0.000293,-0.016471,0.000003,-0.001011,-0.007321,0.000000,0.000000,0.000000
12,-32.932687,689,0.726752,0,2,0.000000,0,0,-0.000290,-0.049710,0.008711,0.000748,-0.007257,0.000000,0.000000,0.000000
13,-52.305788,686,2.522812,3,8,0.375000,0,1,-0.000292,-0.112609,0.051976,0.001150,-0.007289,0.021866,-0.031050,0.000000
14,-137.019546,689,4.747970,3,8,0.375000,0,1,-0.000290,-0.253266,0.048348,-0.000391,-0.007257,0.021771,-0.007783,0.000000
15,-236.021352,689,6.703278,1,3,0.333333,0,1,-0.000290,-0.359216,0.019806,-0.000407,-0.007257,0.007257,-0.002449,0.000000
16,-39.814232,690,2.111891,4,7,0.571429,0,1,-0.000290,-0.109420,0.037591,0.000015,-0.007246,0.028986,-0.007337,0.000000
17,-53.318536,689,1.648037,0,2,0.000000,0,0,-0.000290,-0.090348,0.022037,-0.001527,-0.007257,0.000000,0.000000,0.000000
18,-27.632118,690,3.971011,1,5,0.200000,0,1,-0.000290,-0.081159,0.049812,0.001645,-0.007246,0.007246,-0.010054,0.000000
19,12.916071,686,1.225023,2,3,0.666667,0,1,-0.000292,0.000000,0.015324,-0.000979,-0.007289,0.014577,-0.002515,0.000000
20,-84.947760,690,1.093678,0,3,0.000000,0,0,-0.000290,-0.141667,0.028514,-0.002424,-0.007246,0.000000,0.000000,0.000000
21,26.536300,686,1.270881,4,8,0.500000,0,1,-0.000292,-0.001093,0.030367,-0.000194,-0.007289,0.029155,-0.011972,0.000000
22,-137.051518,684,4.229970,1,2,0.500000,0,1,-0.000292,-0.210526,0.012497,-0.001991,-0.007310,0.007310,-0.000055,0.000000
23,-6.686268,687,0.138406,0,1,0.000000,0,0,-0.000291,-0.003275,0.002390,-0.001278,-0.007278,0.000000,0.000000,0.000000
24,-21.524204,684,2.328516,4,8,0.500000,0,1,-0.000292,-0.062500,0.024428,0.000536,-0.007310,0.029240,-0.015570,0.000000
25,-84.716455,689,2.347130,1,6,0.166667,0,1,-0.000290,-0.129173,0.005671,0.000890,-0.007257,0.007257,-0.000054,0.000000
26,131.201877,280,107.340988,4,4,1.000000,1,1,-0.000297,-0.075893,0.044344,0.003772,0.000000,0.071429,-0.003348,0.428571
27,4.902030,689,1.689483,2,4,0.500000,0,1,-0.000290,-0.055515,0.055304,0.000523,-0.007257,0.014514,-0.000163,0.000000
28,122.343507,571,53.426445,6,6,1.000000,1,1,-0.000297,-0.060420,0.025732,0.003494,0.000000,0.052539,-0.016944,0.210158
29,-1.751143,689,0.795212,1,2,0.500000,0,1,-0.000290,-0.004717,0.003276,-0.000593,-0.007257,0.007257,-0.000218,0.000000
30,15.266666,690,1.237028,3,4,0.750000,0,1,-0.000290,-0.011594,0.020914,0.001756,-0.007246,0.021739,-0.003152,0.000000
31,-23.383736,688,1.323136,2,6,0.333333,0,1,-0.000291,-0.049055,0.010559,-0.001923,-0.007267,0.014535,-0.000545,0.000000
32,-25.053576,691,1.336744,2,3,0.666667,0,1,-0.000289,-0.053184,0.010132,0.000391,-0.007236,0.014472,-0.000543,0.000000
33,130.539417,21,1414.692078,2,2,1.000000,1,1,-0.000303,-0.095238,0.078148,0.046652,0.000000,0.476190,-0.003571,5.714286
34,-12.245006,688,0.991618,2,3,0.666667,0,1,-0.000291,-0.024709,0.003733,-0.000419,-0.007267,0.014535,-0.003379,0.000000
35,-57.025266,686,3.953320,7,8,0.875000,0,1,-0.000292,-0.170918,0.055371,0.001225,-0.007289,0.051020,-0.012245,0.000000
36,-3.286276,685,0.934836,2,4,0.500000,0,1,-0.000292,-0.022628,0.020593,0.000193,-0.007299,0.014599,-0.009964,0.000000
37,-56.931034,691,2.792814,6,8,0.750000,0,1,-0.000289,-0.104920,0.019134,0.000123,-0.007236,0.043415,-0.032616,0.000000
38,140.789932,465,63.866165,3,3,1.000000,1,1,-0.000299,0.000000,0.013221,0.001787,0.000000,0.032258,-0.002258,0.258065
39,-169.256488,684,4.756676,1,4,0.250000,0,1,-0.000292,-0.250731,0.003811,-0.000129,-0.007310,0.007310,-0.000110,0.000000
40,15.050691,683,0.636528,2,4,0.500000,0,1,-0.000293,0.000000,0.015767,-0.000045,-0.007321,0.014641,-0.000714,0.000000
41,111.725437,506,57.074891,1,1,1.000000,1,1,-0.000299,-0.026680,0.001768,-0.001023,0.000000,0.009881,0.000000,0.237154
42,181.443199,507,60.146496,7,7,1.000000,1,1,-0.000299,0.000000,0.057721,0.004646,0.000000,0.069034,-0.009911,0.236686
43,112.437105,424,72.555940,5,5,1.000000,1,1,-0.000301,-0.117335,0.041999,0.002906,0.000000,0.058962,-0.004068,0.283019
44,174.630514,523,58.926880,7,7,1.000000,1,1,-0.000300,-0.014818,0.052998,0.001304,0.000000,0.066922,-0.001649,0.229446
45,-30.586856,682,3.210900,6,8,0.750000,0,1,-0.000293,-0.098607,0.029386,0.003570,-0.007331,0.043988,-0.015561,0.000000
46,116.715386,152,183.895075,1,1,1.000000,1,1,-0.000297,-0.055921,0.005751,-0.004037,0.000000,0.032895,0.000000,0.789474
47,76.325149,684,1.812591,4,5,0.800000,0,1,-0.000292,-0.002924,0.109506,0.002665,-0.007310,0.029240,-0.019298,0.000000
48,101.482033,444,65.697244,1,1,1.000000,1,1,-0.000298,-0.056306,0.002781,0.000855,0.000000,0.011261,0.000000,0.270270
49,-191.649523,688,7.853534,5,7,0.714286,0,1,-0.000291,-0.344477,0.040556,0.001323,-0.007267,0.036337,-0.004742,0.000000
50,32.695425,685,1.300244,4,7,0.571429,0,1,-0.000292,0.000000,0.026506,0.001097,-0.007299,0.029197,-0.001478,0.000000
51,-47.676451,689,1.635855,1,2,0.500000,0,1,-0.000290,-0.070392,0.004433,-0.002839,-0.007257,0.007257,-0.000109,0.000000
52,17.861784,687,1.014886,3,4,0.750000,0,1,-0.000291,-0.014556,0.034852,0.000609,-0.007278,0.021834,-0.009170,0.000000
53,-8.888332,689,2.071169,4,6,0.666667,0,1,-0.000290,-0.055878,0.023780,0.000439,-0.007257,0.029028,-0.002721,0.000000
54,5.948090,681,1.243056,4,6,0.666667,0,1,-0.000294,-0.024963,0.013221,-0.000926,-0.007342,0.029369,-0.000330,0.000000
55,-127.765027,685,3.195407,2,6,0.333333,0,1,-0.000292,-0.207299,0.011766,0.002500,-0.007299,0.014599,-0.000493,0.000000
56,-18.476279,681,2.417895,3,7,0.428571,0,1,-0.000294,-0.135095,0.092952,0.000952,-0.007342,0.022026,-0.000330,0.000000
57,1.732310,682,0.724015,2,8,0.250000,0,1,-0.000293,0.000000,0.002134,0.001506,-0.007331,0.014663,-0.008138,0.000000
58,22.193785,683,0.409430,2,8,0.250000,0,1,-0.000293,-0.006955,0.033853,-0.000718,-0.007321,0.014641,-0.000714,0.000000
59,-7.922181,685,0.099863,0,1,0.000000,0,0,-0.000292,-0.001460,0.000001,-0.002515,-0.007299,0.000000,0.000000,0.000000
60,1.208761,684,0.348700,2,6,0.333333,0,1,-0.000292,-0.004386,0.002714,-0.001715,-0.007310,0.014620,-0.001864,0.000000
61,-41.265361,681,1.341327,2,4,0.500000,0,1,-0.000294,-0.085536,0.043663,0.001982,-0.007342,0.014684,-0.027753,0.000000
62,-237.984423,679,7.555993,4,7,0.571429,0,1,-0.000295,-0.374816,0.004399,0.000336,-0.007364,0.029455,-0.002209,0.000000
63,68.099511,679,0.975614,2,5,0.400000,0,1,-0.000295,-0.002577,0.117778,-0.000879,-0.007364,0.014728,-0.021097,0.000000
64,197.201125,593,52.970134,7,7,1.000000,1,1,-0.000298,-0.023187,0.099542,0.003076,0.000000,0.059022,-0.007968,0.202361
65,5.966148,682,1.288832,2,3,0.666667,0,1,-0.000293,0.000000,0.002517,-0.000477,-0.007331,0.014663,-0.000330,0.000000
66,16.124189,677,1.522552,4,5,0.800000,0,1,-0.000295,-0.011078,0.015442,0.000361,-0.007386,0.029542,-0.002770,0.000000
67,-29.590590,684,2.093742,4,7,0.571429,0,1,-0.000292,-0.064327,0.005760,-0.000630,-0.007310,0.029240,-0.005702,0.000000
68,-11.757976,680,0.799213,1,2,0.500000,0,1,-0.000294,-0.022426,0.006352,-0.000812,-0.007353,0.007353,-0.000110,0.000000
69,-111.839535,680,3.119139,1,2,0.500000,0,1,-0.000294,-0.206985,0.042602,0.000262,-0.007353,0.007353,-0.000055,0.000000
70,23.932134,682,0.887149,3,4,0.750000,0,1,-0.000293,0.000000,0.023745,-0.000934,-0.007331,0.021994,-0.002089,0.000000
71,-8.188734,687,0.977540,2,3,0.666667,0,1,-0.000291,-0.041485,0.024188,-0.001337,-0.007278,0.014556,-0.000273,0.000000
72,-4.062768,677,0.101624,0,6,0.000000,0,0,-0.000295,0.000000,0.002937,-0.001257,-0.007386,0.000000,0.000000,0.000000
73,11.400190,682,0.763824,3,7,0.428571,0,1,-0.000293,-0.000367,0.017987,0.001002,-0.007331,0.021994,-0.016276,0.000000
74,-32.225822,687,1.521534,3,6,0.500000,0,1,-0.000291,-0.069141,0.010292,-0.001341,-0.007278,0.021834,-0.000983,0.000000
75,22.987778,683,1.077007,4,6,0.666667,0,1,-0.000293,0.000000,0.015789,-0.001276,-0.007321,0.029283,-0.002526,0.000000
76,4.642858,681,0.426937,1,2,0.500000,0,1,-0.000294,-0.011013,0.016674,0.001561,-0.007342,0.007342,-0.000110,0.000000
77,166.484529,466,65.368914,7,7,1.000000,1,1,-0.000300,-0.001073,0.024659,0.006267,0.000000,0.075107,-0.004909,0.257511
78,-123.025196,680,3.060821,3,6,0.500000,0,1,-0.000294,-0.196691,0.002908,-0.000335,-0.007353,0.022059,-0.001213,0.000000
79,72.939386,444,69.697948,6,6,1.000000,1,1,-0.000301,-0.176239,0.009690,0.000807,0.000000,0.067568,-0.007517,0.270270
80,-8.157421,683,1.471766,4,5,0.800000,0,1,-0.000293,-0.039165,0.014189,0.000588,-0.007321,0.029283,-0.009224,0.000000
