episode,episode_reward,episode_length,loss,found_sources,total_sources,found_source_ratio,success,partial_success,battery,collision,concentration,distance,failure_done,found_bonus,found_source_stay,success_done
1,-90.457269,1000,48.224814,1,5,0.200000,0,1,-0.000291,-0.104500,0.010595,-0.000549,0.000000,0.005000,-0.000712,0.000000
2,35.209344,1000,43.172003,0,4,0.000000,0,0,-0.000292,-0.001000,0.036617,-0.000115,0.000000,0.000000,0.000000,0.000000
3,17.377245,1000,45.296120,0,3,0.000000,0,0,-0.000291,-0.001500,0.019410,-0.000241,0.000000,0.000000,0.000000,0.000000
4,9.008777,1000,37.377774,1,3,0.333333,0,1,-0.000295,-0.001750,0.006705,-0.000239,0.000000,0.005000,-0.000412,0.000000
5,121.635998,72,463.029507,1,1,1.000000,1,1,-0.000296,-0.041667,0.000653,-0.005412,0.000000,0.069444,0.000000,1.666667
6,17.901119,1000,26.077494,4,5,0.800000,0,1,-0.000294,-0.014250,0.013133,0.000249,0.000000,0.020000,-0.000937,0.000000
7,124.960748,2,6536.702454,1,1,1.000000,1,1,-0.000327,0.000000,0.000031,-0.019330,0.000000,2.500000,0.000000,60.000000
8,18.849620,1000,21.389034,0,2,0.000000,0,0,-0.000294,-0.004250,0.022627,0.000767,0.000000,0.000000,0.000000,0.000000
9,-11.362856,1000,20.601261,2,6,0.333333,0,1,-0.000293,-0.041250,0.022283,0.000035,0.000000,0.010000,-0.002138,0.000000
10,56.364692,1000,14.233723,2,5,0.400000,0,1,-0.000294,-0.001000,0.049980,-0.000146,0.000000,0.010000,-0.002175,0.000000
11,-44.638493,1000,18.487848,3,8,0.375000,0,1,-0.000292,-0.153500,0.130883,0.000396,0.000000,0.015000,-0.037125,0.000000
12,1.434307,1000,8.032642,1,3,0.333333,0,1,-0.000294,-0.005500,0.003454,-0.001076,0.000000,0.005000,-0.000150,0.000000
13,-23.058993,1000,9.772186,0,1,0.000000,0,0,-0.000293,-0.022500,0.000091,-0.000357,0.000000,0.000000,0.000000,0.000000
14,6.034854,1000,3.526736,0,2,0.000000,0,0,-0.000294,-0.009250,0.016971,-0.001392,0.000000,0.000000,0.000000,0.000000
15,-2.722977,1000,1.939402,0,2,0.000000,0,0,-0.000293,-0.001750,0.000057,-0.000737,0.000000,0.000000,0.000000,0.000000
16,-1.732782,1000,0.923511,0,5,0.000000,0,0,-0.000292,-0.000500,0.000132,-0.001073,0.000000,0.000000,0.000000,0.000000
17,-64.031212,1000,6.982837,3,8,0.375000,0,1,-0.000291,-0.145000,0.103484,-0.000173,0.000000,0.015000,-0.037050,0.000000
18,37.839804,1000,0.362826,0,6,0.000000,0,0,-0.000294,0.000000,0.038533,-0.000399,0.000000,0.000000,0.000000,0.000000
19,14.725231,1000,0.953725,3,8,0.375000,0,1,-0.000294,-0.002500,0.004087,-0.000106,0.000000,0.015000,-0.001463,0.000000
20,-7.413035,1000,0.698410,1,3,0.333333,0,1,-0.000294,-0.010500,0.001540,-0.000609,0.000000,0.005000,-0.002550,0.000000
21,73.812345,1000,1.007537,3,6,0.500000,0,1,-0.000295,0.000000,0.059545,0.000499,0.000000,0.015000,-0.000937,0.000000
22,66.925634,716,43.391276,1,1,1.000000,1,1,-0.000294,-0.081355,0.000307,0.000232,0.000000,0.006983,0.000000,0.167598
23,57.946065,1000,1.062319,3,5,0.600000,0,1,-0.000295,-0.002750,0.047106,0.000573,0.000000,0.015000,-0.001688,0.000000
24,-17.552574,1000,1.119335,1,2,0.500000,0,1,-0.000293,-0.021750,0.000183,-0.000354,0.000000,0.005000,-0.000337,0.000000
25,-6.456239,1000,0.876322,1,3,0.333333,0,1,-0.000294,-0.012750,0.002066,-0.000440,0.000000,0.005000,-0.000037,0.000000
26,-2.553729,1000,0.368665,0,5,0.000000,0,0,-0.000293,-0.005000,0.003037,-0.000298,0.000000,0.000000,0.000000,0.000000
27,-3.976899,1000,0.707387,0,1,0.000000,0,0,-0.000293,-0.025500,0.023508,-0.001692,0.000000,0.000000,0.000000,0.000000
28,20.051297,1000,1.018427,5,8,0.625000,0,1,-0.000293,-0.005000,0.000954,-0.000047,0.000000,0.025000,-0.000562,0.000000
29,-164.762775,1000,3.653412,3,8,0.375000,0,1,-0.000292,-0.174500,0.001329,-0.000524,0.000000,0.015000,-0.005775,0.000000
30,16.663199,1000,0.566434,2,4,0.500000,0,1,-0.000294,-0.003000,0.010742,-0.000710,0.000000,0.010000,-0.000075,0.000000
31,20.040523,1000,0.957379,4,8,0.500000,0,1,-0.000294,-0.003000,0.005011,-0.000139,0.000000,0.020000,-0.001538,0.000000
32,10.736130,1000,0.626234,2,3,0.666667,0,1,-0.000294,-0.002000,0.003335,0.000332,0.000000,0.010000,-0.000637,0.000000
33,-50.276493,1000,1.624801,1,3,0.333333,0,1,-0.000291,-0.057500,0.002624,-0.000072,0.000000,0.005000,-0.000037,0.000000
34,-48.038192,1000,1.064797,1,3,0.333333,0,1,-0.000293,-0.053250,0.001341,-0.000762,0.000000,0.005000,-0.000075,0.000000
35,123.386895,626,46.991292,1,1,1.000000,1,1,-0.000292,-0.003594,0.000813,0.000496,0.000000,0.007987,0.000000,0.191693
36,4.071621,1000,0.550598,1,3,0.333333,0,1,-0.000292,-0.003250,0.002807,0.000332,0.000000,0.005000,-0.000525,0.000000
37,4.730704,1000,0.858000,2,5,0.400000,0,1,-0.000292,-0.006500,0.000601,0.001035,0.000000,0.010000,-0.000112,0.000000
38,2.778080,1000,0.122465,0,3,0.000000,0,0,-0.000293,-0.002000,0.005309,-0.000238,0.000000,0.000000,0.000000,0.000000
39,-0.688252,1000,0.444076,2,4,0.500000,0,1,-0.000293,-0.010250,0.001319,-0.000602,0.000000,0.010000,-0.000862,0.000000
40,-4.006019,1000,0.113554,0,6,0.000000,0,0,-0.000293,-0.003500,0.000761,-0.000974,0.000000,0.000000,0.000000,0.000000
41,3.093243,1000,0.294637,1,3,0.333333,0,1,-0.000294,-0.005000,0.003482,0.000093,0.000000,0.005000,-0.000188,0.000000
42,1.349990,1000,0.234059,1,2,0.500000,0,1,-0.000293,-0.006000,0.002775,-0.000057,0.000000,0.005000,-0.000075,0.000000
43,-9.538221,1000,0.148506,0,3,0.000000,0,0,-0.000294,-0.009750,0.001442,-0.000937,0.000000,0.000000,0.000000,0.000000
44,48.098419,1000,0.485754,2,5,0.400000,0,1,-0.000293,-0.000500,0.041534,-0.000317,0.000000,0.010000,-0.002325,0.000000
45,-4.263406,1000,0.768852,2,3,0.666667,0,1,-0.000293,-0.013750,0.001475,-0.000607,0.000000,0.010000,-0.001087,0.000000
46,20.124638,1000,1.897843,6,8,0.750000,0,1,-0.000294,-0.014250,0.004932,0.001424,0.000000,0.030000,-0.001688,0.000000
47,20.293207,1000,0.876519,4,7,0.571429,0,1,-0.000293,0.000000,0.000826,0.000285,0.000000,0.020000,-0.000525,0.000000
48,-344.898122,1000,6.943610,0,3,0.000000,0,0,-0.000293,-0.345000,0.001718,-0.001323,0.000000,0.000000,0.000000,0.000000
49,12.776353,1000,0.583558,2,7,0.285714,0,1,-0.000295,-0.003750,0.008143,-0.000872,0.000000,0.010000,-0.000450,0.000000
50,126.161062,320,91.121350,1,1,1.000000,1,1,-0.000294,-0.004687,0.008517,0.000093,0.000000,0.015625,0.000000,0.375000
51,17.963175,1000,0.829316,1,3,0.333333,0,1,-0.000294,0.000000,0.014405,-0.001111,0.000000,0.005000,-0.000037,0.000000
52,34.740578,1000,1.811787,2,6,0.333333,0,1,-0.000293,-0.041250,0.071388,0.000258,0.000000,0.010000,-0.005362,0.000000
53,-4.136076,1000,0.965920,2,8,0.250000,0,1,-0.000292,-0.016750,0.010927,-0.000634,0.000000,0.010000,-0.007387,0.000000
54,52.176713,1000,0.608539,3,4,0.750000,0,1,-0.000291,0.000000,0.037498,0.000570,0.000000,0.015000,-0.000600,0.000000
55,-23.378831,1000,0.421109,0,2,0.000000,0,0,-0.000292,-0.026250,0.003425,-0.000262,0.000000,0.000000,0.000000,0.000000
56,2.861680,1000,0.134928,0,1,0.000000,0,0,-0.000291,0.000000,0.003318,-0.000165,0.000000,0.000000,0.000000,0.000000
