2026-02-26 01:32:20,065 | INFO | Episode 10/5000 | Avg Reward: 5.65 | Avg Length: 231.10 | Avg Loss: 3.0320 | Avg Found Sources: 0.70 | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.02, found=0.03, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:32:35,748 | INFO | Episode 20/5000 | Avg Reward: 10.52 | Avg Length: 241.40 | Avg Loss: 3.7222 | Avg Found Sources: 1.10 | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.04, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:32:49,033 | INFO | Episode 30/5000 | Avg Reward: 5.08 | Avg Length: 210.20 | Avg Loss: 2.8496 | Avg Found Sources: 0.70 | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.02, found=0.03, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:33:04,889 | INFO | Episode 40/5000 | Avg Reward: 6.45 | Avg Length: 255.70 | Avg Loss: 2.8470 | Avg Found Sources: 0.80 | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.01, found=0.03, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:33:20,037 | INFO | Episode 50/5000 | Avg Reward: 13.49 | Avg Length: 241.00 | Avg Loss: 4.6429 | Avg Found Sources: 1.10 | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.03, found=0.05, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:33:36,868 | INFO | Episode 60/5000 | Avg Reward: 18.66 | Avg Length: 269.30 | Avg Loss: 4.9212 | Avg Found Sources: 1.30 | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.04, found=0.05, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:33:53,876 | INFO | Episode 70/5000 | Avg Reward: 13.70 | Avg Length: 270.50 | Avg Loss: 2.8269 | Avg Found Sources: 1.00 | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.03, found=0.04, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:34:11,642 | INFO | Episode 80/5000 | Avg Reward: 15.39 | Avg Length: 280.60 | Avg Loss: 3.8051 | Avg Found Sources: 1.10 | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.04, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:34:28,889 | INFO | Episode 90/5000 | Avg Reward: 26.02 | Avg Length: 276.50 | Avg Loss: 10.4049 | Avg Found Sources: 2.20 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.09, collision=0.00, battery=-0.00, distance=0.00, success_done=0.02, failure_done=-0.02
2026-02-26 01:34:46,040 | INFO | Episode 100/5000 | Avg Reward: 17.30 | Avg Length: 272.50 | Avg Loss: 4.6030 | Avg Found Sources: 1.60 | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.06, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:35:01,758 | INFO | Episode 110/5000 | Avg Reward: 35.74 | Avg Length: 255.30 | Avg Loss: 20.9975 | Avg Found Sources: 2.30 | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.10, collision=0.00, battery=-0.00, distance=0.00, success_done=0.05, failure_done=-0.01
2026-02-26 01:35:18,352 | INFO | Episode 120/5000 | Avg Reward: 19.47 | Avg Length: 262.50 | Avg Loss: 5.3189 | Avg Found Sources: 1.90 | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.07, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:35:34,353 | INFO | Episode 130/5000 | Avg Reward: 38.83 | Avg Length: 257.40 | Avg Loss: 15.8115 | Avg Found Sources: 2.90 | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.12, collision=0.00, battery=-0.00, distance=0.00, success_done=0.03, failure_done=-0.01
2026-02-26 01:35:51,394 | INFO | Episode 140/5000 | Avg Reward: 26.24 | Avg Length: 269.40 | Avg Loss: 6.9870 | Avg Found Sources: 2.20 | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.08, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:36:09,807 | INFO | Episode 150/5000 | Avg Reward: 18.87 | Avg Length: 297.60 | Avg Loss: 4.6570 | Avg Found Sources: 1.60 | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.05, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:36:27,930 | INFO | Episode 160/5000 | Avg Reward: 16.41 | Avg Length: 292.20 | Avg Loss: 4.1345 | Avg Found Sources: 1.40 | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.03, found=0.05, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
