2026-03-11 12:15:22,100 | INFO | Episode 10/8000 | Avg Reward: 18.47 | Avg Length: 609.70 | Avg Loss: 239.0378 | Avg Found Sources: 2.20 | Avg Found Ratio: 54.50% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.06, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=1.02, failure_done=-0.01
2026-03-11 12:17:45,791 | INFO | Episode 20/8000 | Avg Reward: 10.18 | Avg Length: 607.40 | Avg Loss: 405.5441 | Avg Found Sources: 2.00 | Avg Found Ratio: 52.14% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.10, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=2.02, failure_done=-0.01
2026-03-11 12:20:13,646 | INFO | Episode 30/8000 | Avg Reward: 18.04 | Avg Length: 623.10 | Avg Loss: 455.3356 | Avg Found Sources: 2.10 | Avg Found Ratio: 52.46% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.11, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=2.40, failure_done=-0.01
2026-03-11 12:22:53,044 | INFO | Episode 40/8000 | Avg Reward: -47.05 | Avg Length: 681.00 | Avg Loss: 8.1599 | Avg Found Sources: 2.80 | Avg Found Ratio: 57.75% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.12, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.02, failure_done=-0.01
2026-03-11 12:25:42,293 | INFO | Episode 50/8000 | Avg Reward: -0.84 | Avg Length: 625.60 | Avg Loss: 110.5621 | Avg Found Sources: 3.00 | Avg Found Ratio: 56.00% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.06, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.43, failure_done=-0.01
2026-03-11 12:28:20,366 | INFO | Episode 60/8000 | Avg Reward: -4.16 | Avg Length: 623.00 | Avg Loss: 461.0248 | Avg Found Sources: 3.00 | Avg Found Ratio: 54.23% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.12, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=2.40, failure_done=-0.01
2026-03-11 12:30:38,368 | INFO | Episode 70/8000 | Avg Reward: 24.59 | Avg Length: 576.00 | Avg Loss: 52.0529 | Avg Found Sources: 3.50 | Avg Found Ratio: 74.35% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.21, failure_done=-0.01
2026-03-11 12:32:54,073 | INFO | Episode 80/8000 | Avg Reward: 24.11 | Avg Length: 557.60 | Avg Loss: 592.1578 | Avg Found Sources: 1.80 | Avg Found Ratio: 45.48% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.18, collision=-0.03, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=3.33, failure_done=-0.01
2026-03-11 12:35:46,805 | INFO | Episode 90/8000 | Avg Reward: -1.60 | Avg Length: 692.00 | Avg Loss: 0.8583 | Avg Found Sources: 1.60 | Avg Found Ratio: 32.67% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-11 12:38:36,599 | INFO | Episode 100/8000 | Avg Reward: -17.21 | Avg Length: 668.60 | Avg Loss: 8.2407 | Avg Found Sources: 2.30 | Avg Found Ratio: 43.00% | Success Rate: 10.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.07, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.03, failure_done=-0.01
2026-03-12 11:58:45,964 | INFO | Run Config | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on
2026-03-12 12:00:37,314 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 10/3000 | Avg Reward: 18.47 | Avg Length: 609.70 | Avg Loss: 239.0378 | Avg Found Sources: 2.20 | Avg Found Ratio: 54.50% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.06, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=1.02, failure_done=-0.01
2026-03-12 12:02:26,051 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 20/3000 | Avg Reward: 10.18 | Avg Length: 607.40 | Avg Loss: 405.5445 | Avg Found Sources: 2.00 | Avg Found Ratio: 52.14% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.10, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=2.02, failure_done=-0.01
2026-03-12 12:04:17,984 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 30/3000 | Avg Reward: 18.04 | Avg Length: 623.10 | Avg Loss: 455.3362 | Avg Found Sources: 2.10 | Avg Found Ratio: 52.46% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.11, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=2.40, failure_done=-0.01
2026-03-12 12:06:21,375 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 40/3000 | Avg Reward: -14.76 | Avg Length: 691.80 | Avg Loss: 1.9350 | Avg Found Sources: 2.20 | Avg Found Ratio: 40.31% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-12 12:08:12,086 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 50/3000 | Avg Reward: 22.34 | Avg Length: 622.70 | Avg Loss: 25.4450 | Avg Found Sources: 2.70 | Avg Found Ratio: 58.96% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.04, found=0.03, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.10, failure_done=-0.01
2026-03-12 12:09:48,502 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 60/3000 | Avg Reward: 37.09 | Avg Length: 551.80 | Avg Loss: 53.0662 | Avg Found Sources: 3.00 | Avg Found Ratio: 71.90% | Success Rate: 40.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.21, failure_done=-0.00
2026-03-12 12:11:34,071 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 70/3000 | Avg Reward: 7.09 | Avg Length: 581.10 | Avg Loss: 34.0015 | Avg Found Sources: 3.20 | Avg Found Ratio: 69.36% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.13, failure_done=-0.01
2026-03-12 12:13:31,268 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 80/3000 | Avg Reward: 24.33 | Avg Length: 665.50 | Avg Loss: 11.6930 | Avg Found Sources: 2.50 | Avg Found Ratio: 54.98% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.04, failure_done=-0.01
2026-03-12 12:15:02,101 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 90/3000 | Avg Reward: 61.17 | Avg Length: 508.30 | Avg Loss: 85.4662 | Avg Found Sources: 4.00 | Avg Found Ratio: 75.95% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.08, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.34, failure_done=-0.00
2026-03-12 12:16:51,040 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 100/3000 | Avg Reward: 0.41 | Avg Length: 613.00 | Avg Loss: 36.5807 | Avg Found Sources: 2.60 | Avg Found Ratio: 70.31% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.09, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.14, failure_done=-0.01
2026-03-12 12:18:34,973 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 110/3000 | Avg Reward: 0.28 | Avg Length: 581.10 | Avg Loss: 465.9249 | Avg Found Sources: 3.70 | Avg Found Ratio: 75.88% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.13, collision=-0.08, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=2.44, failure_done=-0.01
2026-03-12 12:20:03,900 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 120/3000 | Avg Reward: 27.04 | Avg Length: 488.10 | Avg Loss: 81.2428 | Avg Found Sources: 2.80 | Avg Found Ratio: 72.14% | Success Rate: 40.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.34, failure_done=-0.00
2026-03-12 12:21:41,294 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 130/3000 | Avg Reward: 55.05 | Avg Length: 538.30 | Avg Loss: 47.5757 | Avg Found Sources: 3.50 | Avg Found Ratio: 74.23% | Success Rate: 40.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.19, failure_done=-0.00
2026-03-12 12:23:37,620 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 140/3000 | Avg Reward: 3.86 | Avg Length: 669.00 | Avg Loss: 7.6837 | Avg Found Sources: 2.70 | Avg Found Ratio: 56.55% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.03, failure_done=-0.01
2026-03-12 12:25:16,019 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 150/3000 | Avg Reward: 14.42 | Avg Length: 558.00 | Avg Loss: 349.1542 | Avg Found Sources: 2.40 | Avg Found Ratio: 57.56% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.08, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=1.49, failure_done=-0.01
2026-03-12 12:27:17,221 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 160/3000 | Avg Reward: -0.89 | Avg Length: 661.30 | Avg Loss: 9.5394 | Avg Found Sources: 3.20 | Avg Found Ratio: 52.13% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.03, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.03, failure_done=-0.01
2026-03-12 12:29:05,094 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 170/3000 | Avg Reward: 53.87 | Avg Length: 616.50 | Avg Loss: 23.0199 | Avg Found Sources: 4.50 | Avg Found Ratio: 80.80% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.09, failure_done=-0.01
2026-03-12 12:30:36,143 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 180/3000 | Avg Reward: 35.10 | Avg Length: 503.80 | Avg Loss: 113.9993 | Avg Found Sources: 4.00 | Avg Found Ratio: 69.17% | Success Rate: 40.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.07, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.47, failure_done=-0.00
2026-03-12 12:32:24,058 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 190/3000 | Avg Reward: -3.58 | Avg Length: 611.00 | Avg Loss: 74.1447 | Avg Found Sources: 3.20 | Avg Found Ratio: 71.67% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.09, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.30, failure_done=-0.01
2026-03-12 12:34:18,326 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 200/3000 | Avg Reward: -10.74 | Avg Length: 634.90 | Avg Loss: 24.5737 | Avg Found Sources: 4.60 | Avg Found Ratio: 76.32% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.09, failure_done=-0.01
2026-03-12 12:35:52,363 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 210/3000 | Avg Reward: 81.74 | Avg Length: 530.20 | Avg Loss: 50.5843 | Avg Found Sources: 4.30 | Avg Found Ratio: 90.92% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.20, failure_done=-0.00
2026-03-12 12:37:29,062 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 220/3000 | Avg Reward: 49.54 | Avg Length: 543.70 | Avg Loss: 251.6971 | Avg Found Sources: 3.60 | Avg Found Ratio: 85.00% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.11, collision=-0.07, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=1.02, failure_done=-0.00
2026-03-12 12:39:05,925 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 230/3000 | Avg Reward: -9.81 | Avg Length: 541.60 | Avg Loss: 76.4677 | Avg Found Sources: 2.80 | Avg Found Ratio: 72.67% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.10, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.30, failure_done=-0.01
2026-03-12 12:40:11,731 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 240/3000 | Avg Reward: 90.14 | Avg Length: 370.40 | Avg Loss: 122.2279 | Avg Found Sources: 3.50 | Avg Found Ratio: 91.90% | Success Rate: 70.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.08, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.50, failure_done=-0.00
2026-03-12 12:41:53,319 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 250/3000 | Avg Reward: 43.35 | Avg Length: 577.40 | Avg Loss: 786.1954 | Avg Found Sources: 2.90 | Avg Found Ratio: 73.00% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.52, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=12.07, failure_done=-0.00
2026-03-12 12:43:13,094 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 260/3000 | Avg Reward: 76.57 | Avg Length: 443.80 | Avg Loss: 564.4148 | Avg Found Sources: 3.60 | Avg Found Ratio: 92.50% | Success Rate: 70.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.19, collision=-0.08, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=2.41, failure_done=-0.00
2026-03-12 12:44:23,114 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 270/3000 | Avg Reward: 103.46 | Avg Length: 392.90 | Avg Loss: 419.3261 | Avg Found Sources: 3.20 | Avg Found Ratio: 95.00% | Success Rate: 80.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.11, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=2.01, failure_done=-0.00
2026-03-12 12:46:17,131 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 280/3000 | Avg Reward: 26.51 | Avg Length: 631.90 | Avg Loss: 21.4085 | Avg Found Sources: 4.50 | Avg Found Ratio: 83.08% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.08, failure_done=-0.01
2026-03-12 12:47:48,938 | INFO | seed=1024 | marl=mappo | agent=ppo | net=ffnn | aux=off@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 290/3000 | Avg Reward: 30.97 | Avg Length: 512.80 | Avg Loss: 217.4051 | Avg Found Sources: 3.00 | Avg Found Ratio: 83.89% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.06, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.91, failure_done=-0.00
