2026-03-03 03:20:55,888 | INFO | Episode 10/8000 | Avg Reward: 1.35 | Avg Length: 481.90 | Avg Loss: 0.8971 | Avg Found Sources: 0.90 | Avg Found Ratio: 16.42% | Success Rate: 0.00% | Partial Success Rate: 40.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-03 03:21:41,026 | INFO | Episode 20/8000 | Avg Reward: -14.46 | Avg Length: 512.00 | Avg Loss: 1.4096 | Avg Found Sources: 1.30 | Avg Found Ratio: 25.68% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-03 03:22:21,512 | INFO | Episode 30/8000 | Avg Reward: 12.89 | Avg Length: 456.70 | Avg Loss: 93.7345 | Avg Found Sources: 1.80 | Avg Found Ratio: 43.44% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.06, collision=-0.03, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=0.38, failure_done=-0.01
2026-03-03 03:23:04,473 | INFO | Episode 40/8000 | Avg Reward: -9.22 | Avg Length: 505.40 | Avg Loss: 1.4714 | Avg Found Sources: 1.80 | Avg Found Ratio: 34.33% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-03 03:23:47,807 | INFO | Episode 50/8000 | Avg Reward: -2.59 | Avg Length: 488.10 | Avg Loss: 1.2341 | Avg Found Sources: 1.90 | Avg Found Ratio: 37.00% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-03 03:24:29,862 | INFO | Episode 60/8000 | Avg Reward: 0.17 | Avg Length: 483.40 | Avg Loss: 1.1978 | Avg Found Sources: 1.60 | Avg Found Ratio: 23.31% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-03 03:25:16,951 | INFO | Episode 70/8000 | Avg Reward: -25.08 | Avg Length: 538.70 | Avg Loss: 1.7808 | Avg Found Sources: 1.70 | Avg Found Ratio: 31.76% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.08, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-03 03:26:04,112 | INFO | Episode 80/8000 | Avg Reward: 44.91 | Avg Length: 531.40 | Avg Loss: 22.7385 | Avg Found Sources: 3.80 | Avg Found Ratio: 73.83% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.05, found=0.04, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.08, failure_done=-0.01
2026-03-03 03:26:48,947 | INFO | Episode 90/8000 | Avg Reward: 14.93 | Avg Length: 486.20 | Avg Loss: 61.8181 | Avg Found Sources: 3.90 | Avg Found Ratio: 76.50% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.10, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.25, failure_done=-0.01
2026-03-03 03:27:35,233 | INFO | Episode 100/8000 | Avg Reward: 22.40 | Avg Length: 518.90 | Avg Loss: 30.3348 | Avg Found Sources: 4.30 | Avg Found Ratio: 76.75% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.11, failure_done=-0.01
2026-03-03 03:28:15,694 | INFO | Episode 110/8000 | Avg Reward: 77.10 | Avg Length: 477.50 | Avg Loss: 54.7279 | Avg Found Sources: 4.50 | Avg Found Ratio: 81.31% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.06, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.21, failure_done=-0.00
