2026-03-11 12:16:34,606 | INFO | Episode 10/8000 | Avg Reward: 11.72 | Avg Length: 650.30 | Avg Loss: 13.1367 | Avg Found Sources: 3.90 | Avg Found Ratio: 66.33% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.03, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.02, failure_done=-0.01
2026-03-11 12:19:07,792 | INFO | Episode 20/8000 | Avg Reward: 76.12 | Avg Length: 534.80 | Avg Loss: 77.9822 | Avg Found Sources: 4.10 | Avg Found Ratio: 87.05% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.18, failure_done=-0.00
2026-03-11 12:21:51,581 | INFO | Episode 30/8000 | Avg Reward: 26.75 | Avg Length: 566.20 | Avg Loss: 70.2150 | Avg Found Sources: 4.40 | Avg Found Ratio: 72.50% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.15, failure_done=-0.01
2026-03-11 12:24:52,324 | INFO | Episode 40/8000 | Avg Reward: 30.73 | Avg Length: 617.20 | Avg Loss: 30.3849 | Avg Found Sources: 2.90 | Avg Found Ratio: 66.45% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.01, found=0.03, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.07, failure_done=-0.01
2026-03-11 12:27:37,122 | INFO | Episode 50/8000 | Avg Reward: 51.15 | Avg Length: 543.90 | Avg Loss: 74.4118 | Avg Found Sources: 3.00 | Avg Found Ratio: 74.99% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.15, failure_done=-0.00
2026-03-11 12:30:18,731 | INFO | Episode 60/8000 | Avg Reward: 41.11 | Avg Length: 557.50 | Avg Loss: 56.1688 | Avg Found Sources: 3.10 | Avg Found Ratio: 68.23% | Success Rate: 30.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.13, failure_done=-0.01
2026-03-11 12:33:10,163 | INFO | Episode 70/8000 | Avg Reward: 31.06 | Avg Length: 599.70 | Avg Loss: 36.3718 | Avg Found Sources: 3.30 | Avg Found Ratio: 66.46% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.09, failure_done=-0.01
2026-03-11 12:35:54,164 | INFO | Episode 80/8000 | Avg Reward: 55.36 | Avg Length: 530.70 | Avg Loss: 105.9831 | Avg Found Sources: 3.70 | Avg Found Ratio: 78.21% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.04, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.22, failure_done=-0.00
2026-03-11 12:38:52,454 | INFO | Episode 90/8000 | Avg Reward: 64.01 | Avg Length: 574.60 | Avg Loss: 109.3188 | Avg Found Sources: 4.30 | Avg Found Ratio: 82.52% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.06, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.21, failure_done=-0.00
2026-03-11 20:26:55,971 | INFO | Run Config | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.200 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4
2026-03-11 20:27:22,518 | INFO | Run Config | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4
2026-03-11 20:29:49,802 | INFO | Run Config | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4
2026-03-11 20:31:35,743 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 10/3000 | Avg Reward: -33.19 | Avg Length: 659.10 | Avg Loss: 11.9477 | Avg Found Sources: 3.70 | Avg Found Ratio: 60.32% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 20:33:02,775 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 20/3000 | Avg Reward: 52.41 | Avg Length: 509.80 | Avg Loss: 141.4132 | Avg Found Sources: 3.50 | Avg Found Ratio: 82.14% | Success Rate: 50.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.30, failure_done=-0.00
2026-03-11 20:34:45,905 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 30/3000 | Avg Reward: -0.00 | Avg Length: 659.70 | Avg Loss: 2.6321 | Avg Found Sources: 4.70 | Avg Found Ratio: 66.43% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.04, found=0.04, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-11 20:36:03,889 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 40/3000 | Avg Reward: 35.32 | Avg Length: 507.30 | Avg Loss: 833.9439 | Avg Found Sources: 3.60 | Avg Found Ratio: 66.08% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.07, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.87, failure_done=-0.01
2026-03-11 20:37:34,626 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 50/3000 | Avg Reward: 24.66 | Avg Length: 606.30 | Avg Loss: 52.0292 | Avg Found Sources: 3.40 | Avg Found Ratio: 72.07% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.11, failure_done=-0.01
2026-03-11 20:39:16,339 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 60/3000 | Avg Reward: -30.68 | Avg Length: 661.30 | Avg Loss: 2.5308 | Avg Found Sources: 3.60 | Avg Found Ratio: 64.63% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.03, collision=-0.10, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-11 20:40:49,208 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 70/3000 | Avg Reward: 4.60 | Avg Length: 609.40 | Avg Loss: 46.8422 | Avg Found Sources: 3.40 | Avg Found Ratio: 77.58% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.09, failure_done=-0.01
2026-03-11 20:42:10,632 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 80/3000 | Avg Reward: 69.03 | Avg Length: 535.00 | Avg Loss: 84.6383 | Avg Found Sources: 4.60 | Avg Found Ratio: 83.24% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.16, failure_done=-0.00
2026-03-11 20:43:24,891 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 90/3000 | Avg Reward: 51.06 | Avg Length: 490.30 | Avg Loss: 109.8794 | Avg Found Sources: 4.10 | Avg Found Ratio: 82.81% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.22, failure_done=-0.00
2026-03-11 20:44:46,520 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 100/3000 | Avg Reward: 53.97 | Avg Length: 543.80 | Avg Loss: 61.3806 | Avg Found Sources: 3.00 | Avg Found Ratio: 73.33% | Success Rate: 40.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.14, failure_done=-0.00
2026-03-11 20:46:10,175 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 110/3000 | Avg Reward: 28.61 | Avg Length: 554.00 | Avg Loss: 149.9032 | Avg Found Sources: 3.00 | Avg Found Ratio: 68.75% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.28, failure_done=-0.01
2026-03-11 20:47:46,374 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 120/3000 | Avg Reward: -7.56 | Avg Length: 588.70 | Avg Loss: 208.2288 | Avg Found Sources: 2.90 | Avg Found Ratio: 68.07% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.08, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.31, failure_done=-0.01
2026-03-11 20:49:13,656 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 130/3000 | Avg Reward: 32.56 | Avg Length: 578.90 | Avg Loss: 121.2292 | Avg Found Sources: 3.80 | Avg Found Ratio: 69.38% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.25, failure_done=-0.01
2026-03-11 20:50:37,127 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 140/3000 | Avg Reward: 20.03 | Avg Length: 552.30 | Avg Loss: 347.1327 | Avg Found Sources: 2.40 | Avg Found Ratio: 54.07% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.07, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.53, failure_done=-0.01
2026-03-11 20:52:23,071 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 150/3000 | Avg Reward: 8.65 | Avg Length: 644.80 | Avg Loss: 16.2336 | Avg Found Sources: 3.90 | Avg Found Ratio: 67.86% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.03, failure_done=-0.01
2026-03-11 20:54:05,658 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 160/3000 | Avg Reward: 21.57 | Avg Length: 647.70 | Avg Loss: 13.1014 | Avg Found Sources: 3.50 | Avg Found Ratio: 66.64% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.03, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.03, failure_done=-0.01
2026-03-11 20:55:39,433 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 170/3000 | Avg Reward: 41.30 | Avg Length: 613.90 | Avg Loss: 39.1633 | Avg Found Sources: 3.30 | Avg Found Ratio: 70.05% | Success Rate: 30.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.03, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.08, failure_done=-0.01
2026-03-11 20:57:23,515 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 180/3000 | Avg Reward: -7.20 | Avg Length: 665.70 | Avg Loss: 13.0294 | Avg Found Sources: 3.40 | Avg Found Ratio: 57.50% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.02, failure_done=-0.01
2026-03-11 20:58:39,922 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 190/3000 | Avg Reward: 38.77 | Avg Length: 502.20 | Avg Loss: 130.2748 | Avg Found Sources: 3.30 | Avg Found Ratio: 66.25% | Success Rate: 40.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.27, failure_done=-0.00
2026-03-11 21:00:14,065 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 200/3000 | Avg Reward: 16.01 | Avg Length: 613.70 | Avg Loss: 780.9646 | Avg Found Sources: 1.70 | Avg Found Ratio: 47.00% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.75, failure_done=-0.01
2026-03-11 21:01:18,012 | INFO | Run Config | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:32/1
2026-03-11 21:02:50,635 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:32/1 | Episode 10/3000 | Avg Reward: 26.48 | Avg Length: 570.50 | Avg Loss: 93.5636 | Avg Found Sources: 4.00 | Avg Found Ratio: 73.15% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.04, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.20, failure_done=-0.01
2026-03-11 21:04:28,931 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:32/1 | Episode 20/3000 | Avg Reward: -29.33 | Avg Length: 630.40 | Avg Loss: 13.2363 | Avg Found Sources: 2.80 | Avg Found Ratio: 60.33% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.10, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.03, failure_done=-0.01
2026-03-11 21:06:12,836 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:32/1 | Episode 30/3000 | Avg Reward: 7.90 | Avg Length: 619.00 | Avg Loss: 17.3292 | Avg Found Sources: 3.70 | Avg Found Ratio: 71.33% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.06, failure_done=-0.01
2026-03-11 21:07:39,274 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:32/1 | Episode 40/3000 | Avg Reward: 42.63 | Avg Length: 506.00 | Avg Loss: 52.8212 | Avg Found Sources: 3.60 | Avg Found Ratio: 78.25% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.18, failure_done=-0.00
2026-03-11 21:08:57,476 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:32/1 | Episode 50/3000 | Avg Reward: 47.88 | Avg Length: 469.60 | Avg Loss: 1584.7421 | Avg Found Sources: 2.30 | Avg Found Ratio: 70.12% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.13, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=1.42, failure_done=-0.00
2026-03-11 21:10:24,599 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:32/1 | Episode 60/3000 | Avg Reward: 13.60 | Avg Length: 542.50 | Avg Loss: 806.6602 | Avg Found Sources: 2.20 | Avg Found Ratio: 56.19% | Success Rate: 20.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.52, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=12.08, failure_done=-0.01
2026-03-11 21:11:37,793 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:32/1 | Episode 70/3000 | Avg Reward: 63.56 | Avg Length: 472.60 | Avg Loss: 126.8127 | Avg Found Sources: 3.70 | Avg Found Ratio: 86.31% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.36, failure_done=-0.00
2026-03-11 21:13:07,134 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:32/1 | Episode 80/3000 | Avg Reward: 35.69 | Avg Length: 578.50 | Avg Loss: 36.7702 | Avg Found Sources: 4.20 | Avg Found Ratio: 75.48% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.12, failure_done=-0.01
2026-03-11 21:14:07,444 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:32/1 | Episode 90/3000 | Avg Reward: 60.63 | Avg Length: 385.30 | Avg Loss: 2367.8601 | Avg Found Sources: 2.60 | Avg Found Ratio: 86.67% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.17, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=3.51, failure_done=-0.00
2026-03-11 21:15:26,834 | INFO | seed=1024 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:32/1 | Episode 100/3000 | Avg Reward: 28.86 | Avg Length: 517.00 | Avg Loss: 942.7074 | Avg Found Sources: 3.10 | Avg Found Ratio: 71.10% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.16, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=3.27, failure_done=-0.01
