2026-03-09 13:23:09,944 | INFO | Episode 10/8000 | Avg Reward: 64.94 | Avg Length: 458.10 | Avg Loss: 130.6278 | Avg Found Sources: 2.90 | Avg Found Ratio: 81.67% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.11, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.51, failure_done=-0.00
2026-03-09 13:24:21,842 | INFO | Episode 20/8000 | Avg Reward: 20.73 | Avg Length: 579.30 | Avg Loss: 32.3742 | Avg Found Sources: 3.60 | Avg Found Ratio: 67.65% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.12, failure_done=-0.01
2026-03-09 13:25:14,907 | INFO | Episode 30/8000 | Avg Reward: 55.15 | Avg Length: 450.00 | Avg Loss: 103.6148 | Avg Found Sources: 3.70 | Avg Found Ratio: 78.64% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.09, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.41, failure_done=-0.00
2026-03-09 13:26:12,728 | INFO | Episode 40/8000 | Avg Reward: 86.09 | Avg Length: 480.30 | Avg Loss: 131.7424 | Avg Found Sources: 4.40 | Avg Found Ratio: 90.50% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.08, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.54, failure_done=-0.00
2026-03-09 13:27:30,551 | INFO | Episode 50/8000 | Avg Reward: 18.30 | Avg Length: 643.30 | Avg Loss: 12.1947 | Avg Found Sources: 3.80 | Avg Found Ratio: 74.33% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.04, failure_done=-0.01
2026-03-09 13:28:30,296 | INFO | Episode 60/8000 | Avg Reward: 61.50 | Avg Length: 492.10 | Avg Loss: 202.7172 | Avg Found Sources: 3.90 | Avg Found Ratio: 81.27% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.06, collision=-0.03, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=0.84, failure_done=-0.00
2026-03-09 13:29:32,370 | INFO | Episode 70/8000 | Avg Reward: 57.63 | Avg Length: 512.80 | Avg Loss: 50.7211 | Avg Found Sources: 3.90 | Avg Found Ratio: 84.50% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.20, failure_done=-0.00
2026-03-09 13:30:46,891 | INFO | Episode 80/8000 | Avg Reward: -1.49 | Avg Length: 618.00 | Avg Loss: 7.9962 | Avg Found Sources: 3.10 | Avg Found Ratio: 58.80% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.02, failure_done=-0.01
2026-03-09 13:31:47,193 | INFO | Episode 90/8000 | Avg Reward: 62.63 | Avg Length: 488.30 | Avg Loss: 51.0349 | Avg Found Sources: 4.30 | Avg Found Ratio: 88.00% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.20, failure_done=-0.00
2026-03-09 13:32:53,512 | INFO | Episode 100/8000 | Avg Reward: 31.29 | Avg Length: 540.20 | Avg Loss: 30.6625 | Avg Found Sources: 3.60 | Avg Found Ratio: 69.08% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.12, failure_done=-0.01
2026-03-09 13:33:58,531 | INFO | Episode 110/8000 | Avg Reward: 50.51 | Avg Length: 548.80 | Avg Loss: 55.4385 | Avg Found Sources: 4.20 | Avg Found Ratio: 71.61% | Success Rate: 40.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.22, failure_done=-0.00
