2026-03-10 17:23:49,783 | INFO | Episode 10/8000 | Avg Reward: -17.37 | Avg Length: 511.80 | Avg Loss: 8.1970 | Avg Found Sources: 1.20 | Avg Found Ratio: 32.21% | Success Rate: 10.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.08, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.02, failure_done=-0.01
2026-03-10 17:24:32,493 | INFO | Episode 20/8000 | Avg Reward: -22.70 | Avg Length: 495.70 | Avg Loss: 12.2285 | Avg Found Sources: 2.00 | Avg Found Ratio: 42.08% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.04, found=0.02, collision=-0.13, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.04, failure_done=-0.01
2026-03-10 17:25:11,284 | INFO | Episode 30/8000 | Avg Reward: -7.09 | Avg Length: 515.40 | Avg Loss: 0.9943 | Avg Found Sources: 1.40 | Avg Found Ratio: 31.58% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-10 17:25:47,365 | INFO | Episode 40/8000 | Avg Reward: -19.07 | Avg Length: 467.40 | Avg Loss: 88.7146 | Avg Found Sources: 2.20 | Avg Found Ratio: 42.08% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.12, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.36, failure_done=-0.01
2026-03-10 17:26:20,173 | INFO | Episode 50/8000 | Avg Reward: 1.58 | Avg Length: 465.30 | Avg Loss: 294.9962 | Avg Found Sources: 1.70 | Avg Found Ratio: 43.17% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.11, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=1.20, failure_done=-0.01
2026-03-10 17:26:53,851 | INFO | Episode 60/8000 | Avg Reward: -35.78 | Avg Length: 464.80 | Avg Loss: 159.3259 | Avg Found Sources: 2.30 | Avg Found Ratio: 45.61% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.14, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=0.67, failure_done=-0.01
2026-03-10 17:27:27,275 | INFO | Episode 70/8000 | Avg Reward: 4.60 | Avg Length: 464.30 | Avg Loss: 148.8182 | Avg Found Sources: 1.50 | Avg Found Ratio: 27.92% | Success Rate: 10.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.03, found=0.09, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.60, failure_done=-0.01
2026-03-10 17:28:03,795 | INFO | Episode 80/8000 | Avg Reward: -10.62 | Avg Length: 514.70 | Avg Loss: 1.8280 | Avg Found Sources: 2.40 | Avg Found Ratio: 47.67% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-10 17:28:40,354 | INFO | Episode 90/8000 | Avg Reward: -24.02 | Avg Length: 514.50 | Avg Loss: 1.4478 | Avg Found Sources: 1.10 | Avg Found Ratio: 26.43% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-10 17:29:15,261 | INFO | Episode 100/8000 | Avg Reward: 5.05 | Avg Length: 511.50 | Avg Loss: 14.4965 | Avg Found Sources: 2.40 | Avg Found Ratio: 55.83% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.05, failure_done=-0.01
2026-03-10 17:29:51,517 | INFO | Episode 110/8000 | Avg Reward: -4.07 | Avg Length: 511.90 | Avg Loss: 1.9154 | Avg Found Sources: 2.30 | Avg Found Ratio: 49.23% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.04, found=0.02, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-10 17:30:19,730 | INFO | Episode 120/8000 | Avg Reward: -14.43 | Avg Length: 413.50 | Avg Loss: 743.9321 | Avg Found Sources: 1.50 | Avg Found Ratio: 46.29% | Success Rate: 20.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.28, collision=-0.15, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=6.32, failure_done=-0.01
2026-03-10 17:30:55,890 | INFO | Episode 130/8000 | Avg Reward: -22.47 | Avg Length: 513.90 | Avg Loss: 1.4074 | Avg Found Sources: 1.20 | Avg Found Ratio: 22.83% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-10 17:31:28,918 | INFO | Episode 140/8000 | Avg Reward: 7.31 | Avg Length: 468.90 | Avg Loss: 59.2368 | Avg Found Sources: 2.20 | Avg Found Ratio: 43.44% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.24, failure_done=-0.01
2026-03-10 17:32:04,154 | INFO | Episode 150/8000 | Avg Reward: -8.54 | Avg Length: 507.20 | Avg Loss: 9.2491 | Avg Found Sources: 2.40 | Avg Found Ratio: 51.83% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.08, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.03, failure_done=-0.01
2026-03-10 17:32:34,730 | INFO | Episode 160/8000 | Avg Reward: 36.72 | Avg Length: 428.20 | Avg Loss: 56.6052 | Avg Found Sources: 3.80 | Avg Found Ratio: 75.65% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.06, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.23, failure_done=-0.01
2026-03-10 17:33:06,607 | INFO | Episode 170/8000 | Avg Reward: 9.76 | Avg Length: 424.60 | Avg Loss: 805.3924 | Avg Found Sources: 1.60 | Avg Found Ratio: 55.52% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.52, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=12.10, failure_done=-0.01
2026-03-10 17:33:39,308 | INFO | Episode 180/8000 | Avg Reward: 57.46 | Avg Length: 450.50 | Avg Loss: 41.6684 | Avg Found Sources: 4.30 | Avg Found Ratio: 88.81% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.16, failure_done=-0.00
2026-03-10 17:34:08,141 | INFO | Episode 190/8000 | Avg Reward: 55.05 | Avg Length: 422.00 | Avg Loss: 51.3293 | Avg Found Sources: 3.20 | Avg Found Ratio: 84.65% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.20, failure_done=-0.01
2026-03-10 17:34:31,359 | INFO | Episode 200/8000 | Avg Reward: 63.10 | Avg Length: 319.90 | Avg Loss: 943.4680 | Avg Found Sources: 3.50 | Avg Found Ratio: 89.67% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.61, collision=-0.14, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=12.77, failure_done=-0.00
