2026-03-11 00:44:46,099 | INFO | Episode 10/8000 | Avg Reward: -1.12 | Avg Length: 687.60 | Avg Loss: 0.8747 | Avg Found Sources: 0.70 | Avg Found Ratio: 15.93% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 00:45:32,736 | INFO | Episode 20/8000 | Avg Reward: -0.38 | Avg Length: 688.60 | Avg Loss: 0.7697 | Avg Found Sources: 0.90 | Avg Found Ratio: 17.56% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 00:46:17,014 | INFO | Episode 30/8000 | Avg Reward: -9.46 | Avg Length: 690.70 | Avg Loss: 0.9749 | Avg Found Sources: 1.70 | Avg Found Ratio: 36.25% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 00:47:02,895 | INFO | Episode 40/8000 | Avg Reward: -10.32 | Avg Length: 690.10 | Avg Loss: 0.6426 | Avg Found Sources: 1.00 | Avg Found Ratio: 16.83% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 00:47:38,496 | INFO | Episode 50/8000 | Avg Reward: 14.15 | Avg Length: 553.80 | Avg Loss: 582.1399 | Avg Found Sources: 1.20 | Avg Found Ratio: 42.50% | Success Rate: 20.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.12, collision=-0.05, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=2.64, failure_done=-0.01
2026-03-11 00:48:22,505 | INFO | Episode 60/8000 | Avg Reward: 4.94 | Avg Length: 690.20 | Avg Loss: 0.6045 | Avg Found Sources: 1.00 | Avg Found Ratio: 17.62% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 00:49:07,684 | INFO | Episode 70/8000 | Avg Reward: -32.95 | Avg Length: 690.60 | Avg Loss: 1.0803 | Avg Found Sources: 0.70 | Avg Found Ratio: 19.08% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 00:49:51,982 | INFO | Episode 80/8000 | Avg Reward: -23.80 | Avg Length: 690.20 | Avg Loss: 0.9797 | Avg Found Sources: 1.20 | Avg Found Ratio: 22.90% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 00:50:35,102 | INFO | Episode 90/8000 | Avg Reward: -4.51 | Avg Length: 689.80 | Avg Loss: 0.7852 | Avg Found Sources: 0.90 | Avg Found Ratio: 16.67% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-11 00:51:21,137 | INFO | Episode 100/8000 | Avg Reward: -5.26 | Avg Length: 688.40 | Avg Loss: 0.7373 | Avg Found Sources: 0.90 | Avg Found Ratio: 18.50% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 00:52:06,954 | INFO | Episode 110/8000 | Avg Reward: 19.90 | Avg Length: 688.40 | Avg Loss: 0.9750 | Avg Found Sources: 1.60 | Avg Found Ratio: 30.95% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.04, found=0.01, collision=-0.01, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-11 00:52:46,996 | INFO | Episode 120/8000 | Avg Reward: 0.58 | Avg Length: 621.00 | Avg Loss: 192.6879 | Avg Found Sources: 1.30 | Avg Found Ratio: 30.93% | Success Rate: 10.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.01, found=0.04, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.80, failure_done=-0.01
2026-03-11 00:53:30,611 | INFO | Episode 130/8000 | Avg Reward: 11.11 | Avg Length: 661.10 | Avg Loss: 8.4910 | Avg Found Sources: 2.70 | Avg Found Ratio: 42.65% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.03, failure_done=-0.01
2026-03-11 00:54:14,395 | INFO | Episode 140/8000 | Avg Reward: 24.41 | Avg Length: 688.80 | Avg Loss: 1.2936 | Avg Found Sources: 3.10 | Avg Found Ratio: 47.75% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.05, found=0.02, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-11 00:54:57,259 | INFO | Episode 150/8000 | Avg Reward: -14.31 | Avg Length: 688.60 | Avg Loss: 1.4331 | Avg Found Sources: 2.10 | Avg Found Ratio: 38.46% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-11 00:55:29,351 | INFO | Episode 160/8000 | Avg Reward: 37.87 | Avg Length: 487.80 | Avg Loss: 436.0082 | Avg Found Sources: 3.50 | Avg Found Ratio: 81.04% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.11, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=2.03, failure_done=-0.00
2026-03-11 00:56:07,515 | INFO | Episode 170/8000 | Avg Reward: 15.22 | Avg Length: 610.40 | Avg Loss: 23.4025 | Avg Found Sources: 3.70 | Avg Found Ratio: 80.98% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.08, failure_done=-0.01
2026-03-11 00:56:50,820 | INFO | Episode 180/8000 | Avg Reward: 7.42 | Avg Length: 684.70 | Avg Loss: 6.2258 | Avg Found Sources: 2.70 | Avg Found Ratio: 51.43% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.02, failure_done=-0.01
2026-03-11 00:57:23,681 | INFO | Episode 190/8000 | Avg Reward: 68.53 | Avg Length: 508.60 | Avg Loss: 53.7303 | Avg Found Sources: 4.40 | Avg Found Ratio: 85.00% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.21, failure_done=-0.00
2026-03-11 00:58:00,609 | INFO | Episode 200/8000 | Avg Reward: 26.40 | Avg Length: 578.60 | Avg Loss: 58.6463 | Avg Found Sources: 3.10 | Avg Found Ratio: 79.05% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.23, failure_done=-0.00
2026-03-11 00:58:42,535 | INFO | Episode 210/8000 | Avg Reward: -7.27 | Avg Length: 677.30 | Avg Loss: 6.7337 | Avg Found Sources: 2.70 | Avg Found Ratio: 60.42% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.02, failure_done=-0.01
2026-03-11 00:59:23,274 | INFO | Episode 220/8000 | Avg Reward: 20.29 | Avg Length: 649.00 | Avg Loss: 19.2461 | Avg Found Sources: 2.50 | Avg Found Ratio: 62.33% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.07, failure_done=-0.01
2026-03-11 01:00:00,643 | INFO | Episode 230/8000 | Avg Reward: -0.44 | Avg Length: 602.00 | Avg Loss: 419.8434 | Avg Found Sources: 2.90 | Avg Found Ratio: 64.05% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.10, collision=-0.10, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=2.02, failure_done=-0.01
2026-03-11 01:00:41,007 | INFO | Episode 240/8000 | Avg Reward: 5.59 | Avg Length: 617.90 | Avg Loss: 25.4149 | Avg Found Sources: 3.60 | Avg Found Ratio: 70.42% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.10, failure_done=-0.01
2026-03-11 01:01:18,058 | INFO | Episode 250/8000 | Avg Reward: 56.78 | Avg Length: 553.50 | Avg Loss: 36.0680 | Avg Found Sources: 3.60 | Avg Found Ratio: 77.20% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.14, failure_done=-0.00
2026-03-11 01:01:58,047 | INFO | Episode 260/8000 | Avg Reward: 30.13 | Avg Length: 614.90 | Avg Loss: 102.5326 | Avg Found Sources: 2.20 | Avg Found Ratio: 64.00% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.03, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.42, failure_done=-0.01
2026-03-11 01:02:33,787 | INFO | Episode 270/8000 | Avg Reward: 43.20 | Avg Length: 530.50 | Avg Loss: 185.2040 | Avg Found Sources: 3.70 | Avg Found Ratio: 78.33% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.07, collision=-0.07, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=0.77, failure_done=-0.00
