2026-03-10 18:35:05,035 | INFO | Episode 10/8000 | Avg Reward: 8.70 | Avg Length: 620.10 | Avg Loss: 304.2505 | Avg Found Sources: 1.00 | Avg Found Ratio: 26.17% | Success Rate: 10.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.02, found=0.06, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=1.33, failure_done=-0.01
2026-03-10 18:36:00,911 | INFO | Episode 20/8000 | Avg Reward: -3.87 | Avg Length: 685.50 | Avg Loss: 1.1676 | Avg Found Sources: 2.00 | Avg Found Ratio: 40.29% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-10 18:36:57,467 | INFO | Episode 30/8000 | Avg Reward: -31.54 | Avg Length: 685.20 | Avg Loss: 1.5599 | Avg Found Sources: 1.20 | Avg Found Ratio: 26.83% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.07, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-10 18:37:42,032 | INFO | Episode 40/8000 | Avg Reward: 38.05 | Avg Length: 544.30 | Avg Loss: 276.0267 | Avg Found Sources: 2.30 | Avg Found Ratio: 59.70% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.08, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=1.17, failure_done=-0.01
2026-03-10 18:38:23,801 | INFO | Episode 50/8000 | Avg Reward: 15.24 | Avg Length: 502.00 | Avg Loss: 405.3542 | Avg Found Sources: 1.20 | Avg Found Ratio: 61.67% | Success Rate: 40.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.11, collision=-0.09, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=1.73, failure_done=-0.00
2026-03-10 18:39:21,588 | INFO | Episode 60/8000 | Avg Reward: -15.92 | Avg Length: 686.40 | Avg Loss: 1.5809 | Avg Found Sources: 2.30 | Avg Found Ratio: 43.10% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-10 18:40:11,647 | INFO | Episode 70/8000 | Avg Reward: 21.08 | Avg Length: 586.40 | Avg Loss: 151.2721 | Avg Found Sources: 2.90 | Avg Found Ratio: 59.15% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.09, collision=-0.07, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=0.60, failure_done=-0.01
2026-03-10 18:41:02,399 | INFO | Episode 80/8000 | Avg Reward: 31.66 | Avg Length: 605.30 | Avg Loss: 26.1315 | Avg Found Sources: 3.20 | Avg Found Ratio: 78.30% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.10, failure_done=-0.00
2026-03-10 18:41:59,537 | INFO | Episode 90/8000 | Avg Reward: 28.44 | Avg Length: 667.60 | Avg Loss: 11.2600 | Avg Found Sources: 2.80 | Avg Found Ratio: 54.83% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.05, found=0.02, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.04, failure_done=-0.01
2026-03-10 18:42:56,313 | INFO | Episode 100/8000 | Avg Reward: 17.72 | Avg Length: 670.70 | Avg Loss: 11.5726 | Avg Found Sources: 3.80 | Avg Found Ratio: 64.37% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.04, failure_done=-0.01
2026-03-10 18:43:35,295 | INFO | Episode 110/8000 | Avg Reward: 65.60 | Avg Length: 468.10 | Avg Loss: 85.2235 | Avg Found Sources: 3.00 | Avg Found Ratio: 83.63% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.35, failure_done=-0.00
2026-03-10 18:44:33,520 | INFO | Episode 120/8000 | Avg Reward: 20.04 | Avg Length: 673.30 | Avg Loss: 2.2453 | Avg Found Sources: 4.80 | Avg Found Ratio: 74.05% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.05, found=0.04, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-10 18:45:24,376 | INFO | Episode 130/8000 | Avg Reward: 5.30 | Avg Length: 582.60 | Avg Loss: 253.4220 | Avg Found Sources: 3.60 | Avg Found Ratio: 79.58% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.07, collision=-0.12, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=1.04, failure_done=-0.01
2026-03-10 18:46:15,464 | INFO | Episode 140/8000 | Avg Reward: 25.64 | Avg Length: 616.10 | Avg Loss: 26.7548 | Avg Found Sources: 3.80 | Avg Found Ratio: 80.38% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.10, failure_done=-0.00
2026-03-10 18:47:05,768 | INFO | Episode 150/8000 | Avg Reward: 44.42 | Avg Length: 587.10 | Avg Loss: 33.5668 | Avg Found Sources: 3.80 | Avg Found Ratio: 86.90% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.13, failure_done=-0.00
2026-03-10 18:47:50,290 | INFO | Episode 160/8000 | Avg Reward: 43.78 | Avg Length: 501.90 | Avg Loss: 544.2600 | Avg Found Sources: 4.50 | Avg Found Ratio: 90.06% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.05, found=0.17, collision=-0.12, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=3.15, failure_done=-0.00
2026-03-10 18:48:36,389 | INFO | Episode 170/8000 | Avg Reward: 34.50 | Avg Length: 551.60 | Avg Loss: 480.8956 | Avg Found Sources: 3.20 | Avg Found Ratio: 73.52% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.13, collision=-0.08, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=2.48, failure_done=-0.00
2026-03-10 18:49:24,650 | INFO | Episode 180/8000 | Avg Reward: 27.64 | Avg Length: 565.50 | Avg Loss: 212.3144 | Avg Found Sources: 4.50 | Avg Found Ratio: 80.36% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.07, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.92, failure_done=-0.01
2026-03-10 18:50:16,101 | INFO | Episode 190/8000 | Avg Reward: -0.54 | Avg Length: 612.70 | Avg Loss: 45.8923 | Avg Found Sources: 3.00 | Avg Found Ratio: 62.14% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.18, failure_done=-0.01
2026-03-10 18:50:56,757 | INFO | Episode 200/8000 | Avg Reward: 76.53 | Avg Length: 498.30 | Avg Loss: 62.9470 | Avg Found Sources: 3.50 | Avg Found Ratio: 85.42% | Success Rate: 70.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.25, failure_done=-0.00
2026-03-10 18:51:33,623 | INFO | Episode 210/8000 | Avg Reward: 58.57 | Avg Length: 437.10 | Avg Loss: 77.8015 | Avg Found Sources: 3.60 | Avg Found Ratio: 92.08% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.04, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.32, failure_done=-0.00
2026-03-10 18:52:04,578 | INFO | Episode 220/8000 | Avg Reward: 89.68 | Avg Length: 380.00 | Avg Loss: 601.0048 | Avg Found Sources: 3.50 | Avg Found Ratio: 91.90% | Success Rate: 70.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.18, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=3.37, failure_done=-0.00
2026-03-10 18:52:45,118 | INFO | Episode 230/8000 | Avg Reward: 81.62 | Avg Length: 482.60 | Avg Loss: 65.5031 | Avg Found Sources: 3.60 | Avg Found Ratio: 92.17% | Success Rate: 70.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.26, failure_done=-0.00
2026-03-10 18:53:16,631 | INFO | Episode 240/8000 | Avg Reward: 84.76 | Avg Length: 380.90 | Avg Loss: 649.1168 | Avg Found Sources: 3.80 | Avg Found Ratio: 91.25% | Success Rate: 70.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.19, collision=-0.11, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=3.00, failure_done=-0.00
2026-03-10 18:53:47,766 | INFO | Episode 250/8000 | Avg Reward: 116.29 | Avg Length: 371.40 | Avg Loss: 184.9999 | Avg Found Sources: 3.40 | Avg Found Ratio: 98.57% | Success Rate: 90.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.06, collision=-0.10, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.83, failure_done=-0.00
2026-03-10 18:54:20,546 | INFO | Episode 260/8000 | Avg Reward: 81.33 | Avg Length: 387.70 | Avg Loss: 179.3063 | Avg Found Sources: 3.80 | Avg Found Ratio: 91.55% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.10, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.78, failure_done=-0.00
2026-03-10 18:54:55,343 | INFO | Episode 270/8000 | Avg Reward: 49.83 | Avg Length: 420.80 | Avg Loss: 564.9540 | Avg Found Sources: 2.70 | Avg Found Ratio: 85.67% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.17, collision=-0.06, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=3.33, failure_done=-0.00
2026-03-10 18:55:36,513 | INFO | Episode 280/8000 | Avg Reward: 59.58 | Avg Length: 479.80 | Avg Loss: 57.7185 | Avg Found Sources: 4.70 | Avg Found Ratio: 87.58% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.06, collision=-0.10, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.23, failure_done=-0.00
2026-03-10 18:56:27,428 | INFO | Episode 290/8000 | Avg Reward: 26.56 | Avg Length: 603.20 | Avg Loss: 27.0306 | Avg Found Sources: 3.90 | Avg Found Ratio: 79.88% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.10, failure_done=-0.00
2026-03-10 18:57:08,812 | INFO | Episode 300/8000 | Avg Reward: 82.04 | Avg Length: 505.00 | Avg Loss: 50.1258 | Avg Found Sources: 3.50 | Avg Found Ratio: 85.50% | Success Rate: 70.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.20, failure_done=-0.00
2026-03-10 18:57:55,337 | INFO | Episode 310/8000 | Avg Reward: 52.15 | Avg Length: 555.60 | Avg Loss: 605.1742 | Avg Found Sources: 3.30 | Avg Found Ratio: 79.25% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.19, collision=-0.04, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=4.08, failure_done=-0.00
2026-03-10 18:58:48,871 | INFO | Episode 320/8000 | Avg Reward: 3.33 | Avg Length: 643.90 | Avg Loss: 23.6226 | Avg Found Sources: 3.90 | Avg Found Ratio: 81.67% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.11, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.08, failure_done=-0.00
2026-03-10 18:59:29,365 | INFO | Episode 330/8000 | Avg Reward: 67.29 | Avg Length: 494.30 | Avg Loss: 434.9815 | Avg Found Sources: 3.70 | Avg Found Ratio: 79.58% | Success Rate: 50.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.21, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=2.17, failure_done=-0.00
2026-03-10 19:00:24,376 | INFO | Episode 340/8000 | Avg Reward: 23.37 | Avg Length: 650.40 | Avg Loss: 18.8006 | Avg Found Sources: 5.60 | Avg Found Ratio: 84.64% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.07, failure_done=-0.01
2026-03-10 19:01:10,666 | INFO | Episode 350/8000 | Avg Reward: 24.71 | Avg Length: 549.30 | Avg Loss: 329.5219 | Avg Found Sources: 3.90 | Avg Found Ratio: 82.64% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.09, collision=-0.09, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=1.42, failure_done=-0.00
2026-03-10 19:02:00,152 | INFO | Episode 360/8000 | Avg Reward: -8.86 | Avg Length: 587.70 | Avg Loss: 334.9112 | Avg Found Sources: 3.70 | Avg Found Ratio: 78.75% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.09, collision=-0.14, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=1.55, failure_done=-0.01
2026-03-10 19:02:38,079 | INFO | Episode 370/8000 | Avg Reward: 82.70 | Avg Length: 444.00 | Avg Loss: 81.8597 | Avg Found Sources: 4.00 | Avg Found Ratio: 95.83% | Success Rate: 80.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.34, failure_done=-0.00
2026-03-10 19:03:14,160 | INFO | Episode 380/8000 | Avg Reward: 72.55 | Avg Length: 420.20 | Avg Loss: 455.5684 | Avg Found Sources: 3.20 | Avg Found Ratio: 85.67% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.16, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=1.99, failure_done=-0.00
2026-03-10 19:04:07,133 | INFO | Episode 390/8000 | Avg Reward: 7.82 | Avg Length: 617.70 | Avg Loss: 41.9965 | Avg Found Sources: 3.50 | Avg Found Ratio: 72.65% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.16, failure_done=-0.01
2026-03-10 19:04:48,188 | INFO | Episode 400/8000 | Avg Reward: 47.19 | Avg Length: 487.80 | Avg Loss: 169.4848 | Avg Found Sources: 4.00 | Avg Found Ratio: 85.74% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.09, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.68, failure_done=-0.00
2026-03-10 19:05:42,454 | INFO | Episode 410/8000 | Avg Reward: -9.65 | Avg Length: 625.60 | Avg Loss: 23.7835 | Avg Found Sources: 3.80 | Avg Found Ratio: 72.62% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.10, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.09, failure_done=-0.01
