episode,avg_reward,avg_found_sources,avg_found_ratio
10,8.703003,1.0000,0.261667
20,-3.872984,2.0000,0.402857
30,-31.538566,1.2000,0.268333
40,38.054839,2.3000,0.597024
50,15.243530,1.2000,0.616667
60,-15.922423,2.3000,0.430952
70,21.076174,2.9000,0.591548
80,31.657175,3.2000,0.782976
90,28.438389,2.8000,0.548333
100,17.722137,3.8000,0.643690
110,65.601407,3.0000,0.836310
120,20.036046,4.8000,0.740476
130,5.295031,3.6000,0.795833
140,25.639043,3.8000,0.803810
150,44.420228,3.8000,0.869048
160,43.775747,4.5000,0.900595
170,34.502146,3.2000,0.735238
180,27.641234,4.5000,0.803571
190,-0.538741,3.0000,0.621429
200,76.525106,3.5000,0.854167
210,58.571714,3.6000,0.920833
220,89.677399,3.5000,0.919048
230,81.620079,3.6000,0.921667
240,84.764222,3.8000,0.912500
250,116.292233,3.4000,0.985714
260,81.328659,3.8000,0.915476
270,49.831478,2.7000,0.856667
280,59.576233,4.7000,0.875833
290,26.563937,3.9000,0.798810
300,82.037119,3.5000,0.855000
310,52.152737,3.3000,0.792500
320,3.327498,3.9000,0.816667
330,67.287770,3.7000,0.795833
340,23.370662,5.6000,0.846429
350,24.707077,3.9000,0.826429
360,-8.864368,3.7000,0.787500
370,82.700623,4.0000,0.958333
380,72.554581,3.2000,0.856667
390,7.818804,3.5000,0.726548
400,47.192669,4.0000,0.857381
410,-9.654311,3.8000,0.726190
420,84.686159,4.4000,0.879167
430,9.721512,3.5000,0.739524
440,81.149781,4.2000,0.918095
450,77.553217,3.9000,0.905714
460,85.134153,4.0000,0.885000
470,44.676023,3.5000,0.875833
480,47.961867,4.4000,0.808333
490,107.491436,3.8000,0.975000
500,82.052975,5.3000,0.927381
510,43.968139,3.6000,0.854881
520,33.759418,2.7000,0.875000
530,81.707925,2.9000,0.925000
540,40.090876,3.9000,0.772857
550,109.652835,5.7000,0.946429
560,52.538131,4.7000,0.890714
570,94.891385,4.9000,0.987500
580,102.949735,4.4000,0.900000
590,104.885608,4.5000,0.954167
600,86.744118,4.9000,0.963333
610,94.772635,3.8000,0.945714
620,85.211116,4.2000,0.937500
630,128.977310,4.2000,1.000000
640,82.720377,4.3000,0.869048
650,41.855137,3.1000,0.879881
660,81.467137,5.0000,0.925000
670,49.345538,5.3000,0.833333
680,60.864708,5.1000,0.898810
690,117.194283,4.4000,0.971429
700,94.651136,4.9000,0.912500
710,111.782702,4.4000,0.966667
720,106.160746,3.6000,0.983333
730,80.173118,3.8000,0.842857
740,124.034618,5.9000,0.970833
750,97.904984,3.3000,0.966667
760,57.407566,5.0000,0.896667
770,25.244131,3.2000,0.700595
780,35.994141,3.9000,0.809048
790,110.738851,3.8000,0.940000
800,31.891831,3.2000,0.804167
810,45.307402,3.4000,0.916667
820,44.425173,3.3000,0.835714
830,91.566698,4.0000,0.965714
840,32.924314,4.9000,0.859643
850,92.878295,4.3000,0.935714
860,31.080137,3.1000,0.852024
870,41.730191,4.4000,0.666667
880,81.091288,4.0000,0.895833
890,106.731445,4.5000,0.918095
900,84.465271,4.3000,0.920833
910,88.211930,4.3000,0.945714
920,86.357339,4.3000,0.925714
930,19.800293,4.4000,0.756548
940,60.545883,4.5000,0.804167
950,83.384002,4.2000,0.938095
960,105.217435,4.8000,0.962500
970,123.098162,4.9000,0.973214
980,116.003952,4.0000,0.975000
990,56.386289,3.7000,0.880000
1000,45.628282,3.7000,0.897500
1010,61.719436,4.5000,0.870833
1020,77.125397,3.1000,0.880000
1030,68.834688,3.5000,0.875000
1040,62.313863,4.1000,0.879167
1050,65.607591,4.9000,0.874643
1060,116.174140,4.4000,0.985714
1070,99.677165,4.7000,0.954762
1080,74.384985,4.2000,0.889881
1090,83.395988,4.3000,0.912500
1100,111.697990,4.2000,0.975000
1110,103.184004,4.7000,0.953214
