episode,avg_reward
10,31.426574
10,12.271284
20,4.200038
30,21.071662
40,12.555256
50,14.426091
60,5.032602
70,26.278936
80,21.813815
90,28.500337
100,21.182685
110,26.963127
120,14.449144
130,8.916706
140,25.684567
150,28.610055
160,26.365839
170,-7.705119
180,35.938928
190,25.501601
200,25.758671
210,32.148114
220,27.030364
230,29.774553
240,30.699002
250,24.151492
260,23.741065
270,26.315177
280,31.301629
290,-19.900811
300,28.607384
310,-16.657988
320,-12.997930
330,32.743329
340,-28.280411
350,25.933396
360,-12.866647
370,32.172745
380,25.110228
390,28.625193
400,21.478230
410,25.441840
420,26.489755
430,24.171432
440,23.489581
450,-71.896466
460,28.534215
470,-17.492673
480,30.533815
490,36.793077
500,33.713610
510,31.032784
520,-29.473158
530,27.451489
540,-10.233519
550,28.003328
560,-8.623191
570,-16.566396
580,30.788835
590,41.046646
600,-112.021557
610,31.939984
620,-17.570323
630,26.386632
640,25.655659
650,24.331775
660,-25.416049
670,4.398180
680,30.826623
690,32.735380
700,25.726822
710,24.721288
720,-20.370048
730,30.404131
740,29.186164
750,37.089446
760,-64.040123
770,27.381480
780,32.638604
790,23.090825
800,26.897914
810,27.431031
820,23.705726
830,28.146395
