2026-03-09 13:19:46,518 | INFO | Episode 10/8000 | Avg Reward: 11.56 | Avg Length: 577.30 | Avg Loss: 100.5942 | Avg Found Sources: 2.40 | Avg Found Ratio: 66.42% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.17, failure_done=-0.01
2026-03-09 13:20:35,051 | INFO | Episode 20/8000 | Avg Reward: 8.79 | Avg Length: 578.10 | Avg Loss: 55.1283 | Avg Found Sources: 3.00 | Avg Found Ratio: 64.58% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.08, failure_done=-0.01
2026-03-09 13:21:20,495 | INFO | Episode 30/8000 | Avg Reward: 10.53 | Avg Length: 567.40 | Avg Loss: 59.6181 | Avg Found Sources: 2.70 | Avg Found Ratio: 74.67% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.09, failure_done=-0.01
2026-03-09 13:22:13,030 | INFO | Episode 40/8000 | Avg Reward: 21.43 | Avg Length: 593.80 | Avg Loss: 31.4561 | Avg Found Sources: 3.00 | Avg Found Ratio: 61.67% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.04, failure_done=-0.01
2026-03-09 13:23:27,635 | INFO | Episode 50/8000 | Avg Reward: 28.35 | Avg Length: 540.80 | Avg Loss: 267.4013 | Avg Found Sources: 3.20 | Avg Found Ratio: 63.86% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.07, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.50, failure_done=-0.01
2026-03-09 13:24:35,065 | INFO | Episode 60/8000 | Avg Reward: 16.13 | Avg Length: 574.10 | Avg Loss: 45.8509 | Avg Found Sources: 2.20 | Avg Found Ratio: 56.00% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.07, failure_done=-0.01
2026-03-09 13:25:43,045 | INFO | Episode 70/8000 | Avg Reward: -16.57 | Avg Length: 574.80 | Avg Loss: 197.2357 | Avg Found Sources: 1.90 | Avg Found Ratio: 41.17% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.03, collision=-0.07, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.35, failure_done=-0.01
2026-03-09 13:26:35,955 | INFO | Episode 80/8000 | Avg Reward: 57.76 | Avg Length: 443.20 | Avg Loss: 545.2647 | Avg Found Sources: 2.20 | Avg Found Ratio: 65.17% | Success Rate: 40.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.04, found=0.12, collision=-0.03, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=1.02, failure_done=-0.01
2026-03-09 13:27:40,314 | INFO | Episode 90/8000 | Avg Reward: -10.81 | Avg Length: 533.10 | Avg Loss: 91.0331 | Avg Found Sources: 2.10 | Avg Found Ratio: 49.24% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.14, failure_done=-0.01
2026-03-09 13:28:52,569 | INFO | Episode 100/8000 | Avg Reward: 6.17 | Avg Length: 595.70 | Avg Loss: 17.3104 | Avg Found Sources: 2.40 | Avg Found Ratio: 46.85% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.02, failure_done=-0.01
2026-03-09 13:30:05,188 | INFO | Episode 110/8000 | Avg Reward: -21.73 | Avg Length: 598.20 | Avg Loss: 7.3617 | Avg Found Sources: 2.20 | Avg Found Ratio: 41.43% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 13:31:18,768 | INFO | Episode 120/8000 | Avg Reward: -3.43 | Avg Length: 612.40 | Avg Loss: 8.0031 | Avg Found Sources: 3.10 | Avg Found Ratio: 49.36% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 13:32:26,558 | INFO | Episode 130/8000 | Avg Reward: -21.45 | Avg Length: 556.40 | Avg Loss: 194.6941 | Avg Found Sources: 2.10 | Avg Found Ratio: 43.33% | Success Rate: 10.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.04, found=0.05, collision=-0.12, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.32, failure_done=-0.01
2026-03-09 13:33:27,291 | INFO | Episode 140/8000 | Avg Reward: 14.29 | Avg Length: 505.40 | Avg Loss: 106.7831 | Avg Found Sources: 2.50 | Avg Found Ratio: 61.73% | Success Rate: 30.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.17, failure_done=-0.01
2026-03-09 13:34:32,649 | INFO | Episode 150/8000 | Avg Reward: 21.30 | Avg Length: 546.10 | Avg Loss: 374.4676 | Avg Found Sources: 2.70 | Avg Found Ratio: 68.45% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.07, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.77, failure_done=-0.01
2026-03-09 13:35:28,430 | INFO | Episode 160/8000 | Avg Reward: 40.24 | Avg Length: 466.70 | Avg Loss: 133.6375 | Avg Found Sources: 2.10 | Avg Found Ratio: 51.26% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.23, failure_done=-0.01
2026-03-09 13:36:36,786 | INFO | Episode 170/8000 | Avg Reward: 17.43 | Avg Length: 576.20 | Avg Loss: 86.9883 | Avg Found Sources: 2.90 | Avg Found Ratio: 59.70% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.15, failure_done=-0.01
2026-03-09 13:37:50,046 | INFO | Episode 180/8000 | Avg Reward: 19.10 | Avg Length: 614.70 | Avg Loss: 2.9492 | Avg Found Sources: 2.20 | Avg Found Ratio: 38.45% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.05, found=0.02, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 13:38:55,019 | INFO | Episode 190/8000 | Avg Reward: 8.30 | Avg Length: 547.60 | Avg Loss: 63.2917 | Avg Found Sources: 1.50 | Avg Found Ratio: 38.50% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.11, failure_done=-0.01
2026-03-09 13:40:00,711 | INFO | Episode 200/8000 | Avg Reward: 5.46 | Avg Length: 550.60 | Avg Loss: 215.0879 | Avg Found Sources: 3.10 | Avg Found Ratio: 63.62% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.07, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.34, failure_done=-0.01
2026-03-09 13:41:12,585 | INFO | Episode 210/8000 | Avg Reward: -1.64 | Avg Length: 600.80 | Avg Loss: 7.6766 | Avg Found Sources: 3.50 | Avg Found Ratio: 58.83% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 13:42:26,175 | INFO | Episode 220/8000 | Avg Reward: -9.67 | Avg Length: 609.90 | Avg Loss: 6.7594 | Avg Found Sources: 2.60 | Avg Found Ratio: 50.08% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
