2026-03-03 13:07:29,624 | INFO | Episode 10/120 | Avg Reward: 7.12 | Avg Length: 508.90 | Avg Loss: 2.9489 | Avg Found Sources: 1.70 | Avg Found Ratio: 35.77% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.01, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-03 13:08:25,298 | INFO | Episode 20/120 | Avg Reward: -3.21 | Avg Length: 479.40 | Avg Loss: 2.6600 | Avg Found Sources: 1.40 | Avg Found Ratio: 28.76% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-03 13:09:27,507 | INFO | Episode 30/120 | Avg Reward: -43.15 | Avg Length: 515.80 | Avg Loss: 14.1220 | Avg Found Sources: 2.80 | Avg Found Ratio: 43.55% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.11, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-03 13:10:37,793 | INFO | Episode 40/120 | Avg Reward: -34.90 | Avg Length: 582.60 | Avg Loss: 12.1328 | Avg Found Sources: 2.00 | Avg Found Ratio: 36.00% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.10, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-03 13:11:33,881 | INFO | Episode 50/120 | Avg Reward: -18.15 | Avg Length: 475.10 | Avg Loss: 11.1017 | Avg Found Sources: 1.20 | Avg Found Ratio: 21.46% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.04, found=0.01, collision=-0.08, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-03 13:12:28,265 | INFO | Episode 60/120 | Avg Reward: -4.64 | Avg Length: 487.90 | Avg Loss: 3.5421 | Avg Found Sources: 1.90 | Avg Found Ratio: 34.69% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.00, found=0.02, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-03 13:13:24,373 | INFO | Episode 70/120 | Avg Reward: -17.91 | Avg Length: 496.10 | Avg Loss: 407.6448 | Avg Found Sources: 2.00 | Avg Found Ratio: 48.50% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.06, collision=-0.11, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=0.92, failure_done=-0.01
2026-03-03 13:14:26,973 | INFO | Episode 80/120 | Avg Reward: -20.19 | Avg Length: 563.60 | Avg Loss: 6.7198 | Avg Found Sources: 2.20 | Avg Found Ratio: 47.80% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-03 13:15:30,644 | INFO | Episode 90/120 | Avg Reward: 20.64 | Avg Length: 527.20 | Avg Loss: 803.1419 | Avg Found Sources: 3.70 | Avg Found Ratio: 76.65% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.53, collision=-0.10, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=12.06, failure_done=-0.01
2026-03-03 13:16:32,503 | INFO | Episode 100/120 | Avg Reward: 41.81 | Avg Length: 526.20 | Avg Loss: 152.1675 | Avg Found Sources: 4.10 | Avg Found Ratio: 80.23% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.06, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.28, failure_done=-0.01
2026-03-03 13:17:26,350 | INFO | Episode 110/120 | Avg Reward: 42.73 | Avg Length: 460.00 | Avg Loss: 795.3914 | Avg Found Sources: 3.30 | Avg Found Ratio: 93.65% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.13, collision=-0.10, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=1.92, failure_done=-0.00
2026-03-03 13:18:39,974 | INFO | Episode 120/120 | Avg Reward: 9.65 | Avg Length: 628.20 | Avg Loss: 72.7444 | Avg Found Sources: 4.50 | Avg Found Ratio: 80.24% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.10, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.12, failure_done=-0.00
