episode,avg_reward,avg_found_sources
10,5.453932,0.6000
20,6.795022,0.8000
30,3.614825,0.6000
40,6.483400,0.9000
50,10.627144,1.3000
60,11.391748,1.4000
70,16.272203,1.6000
80,26.647564,2.1000
90,22.081967,1.8000
100,19.639555,1.6000
110,27.484768,2.2000
120,24.007685,1.8000
130,43.509015,3.0000
140,35.115486,2.4000
150,26.637351,2.5000
160,38.872858,2.8000
170,34.361064,2.6000
180,28.591534,2.5000
190,33.054052,2.7000
200,31.332348,2.7000
210,44.167340,2.9000
220,38.980985,3.0000
230,34.702525,2.7000
240,34.517848,2.9000
250,31.706744,2.5000
260,27.664124,2.4000
270,14.871234,1.6000
280,34.036165,2.3000
290,45.829403,3.0000
300,30.101687,2.5000
310,31.005991,2.6000
320,48.367610,3.1000
330,37.078614,2.6000
340,34.128584,2.7000
350,43.780583,3.0000
360,40.770622,2.9000
370,44.527353,3.2000
380,38.137096,3.0000
390,37.759346,2.6000
400,47.197760,3.1000
410,23.040548,2.1000
420,47.527167,3.3000
430,34.842673,2.6000
440,57.474847,3.5000
450,44.733475,3.1000
460,35.769602,2.4000
470,40.584995,2.7000
480,49.783113,3.1000
490,32.925982,2.4000
500,34.585109,2.4000
510,38.301081,2.8000
520,46.828831,3.0000
530,37.092956,2.3000
540,27.313614,2.1000
550,37.694202,2.6000
560,35.901270,2.4000
570,42.364092,2.5000
580,37.135538,2.5000
590,24.900010,2.0000
600,28.612063,2.2000
610,27.423282,2.4000
620,31.659183,2.3000
630,27.553643,2.2000
640,44.031551,2.8000
650,36.478390,2.3000
660,27.365849,1.8000
670,35.490174,2.6000
680,27.346753,2.1000
690,33.697300,2.3000
700,27.573202,2.2000
710,43.410493,2.7000
720,23.432647,2.3000
730,33.011022,2.8000
740,25.385678,2.0000
750,41.935191,2.8000
760,33.516811,2.8000
770,56.501854,3.4000
780,59.046171,3.5000
790,52.037128,3.3000
800,43.699859,2.7000
810,36.475675,2.8000
820,30.346651,2.2000
830,45.486192,3.0000
840,40.561032,2.9000
850,41.692538,2.9000
860,43.077683,2.9000
870,43.929174,3.0000
880,41.242033,3.0000
890,30.881541,2.4000
900,29.723137,2.5000
910,34.681878,2.7000
920,39.971789,2.7000
930,29.081337,2.3000
940,30.347544,2.3000
950,21.458879,1.7000
960,23.637269,2.0000
970,32.833886,2.6000
980,46.457529,3.2000
990,42.945097,3.0000
1000,33.721943,2.6000
1010,39.304613,2.9000
1020,45.102372,3.1000
1030,30.058966,2.5000
1040,56.554147,3.6000
1050,29.057713,2.7000
1060,42.792676,3.0000
1070,32.812276,2.7000
1080,31.831028,2.4000
1090,33.565349,2.5000
1100,28.394846,2.6000
1110,27.605698,2.3000
1120,33.016283,2.8000
1130,38.778376,3.1000
1140,49.130117,3.4000
1150,40.861474,3.1000
1160,34.111268,2.9000
1170,36.513746,2.7000
1180,41.195811,3.1000
1190,36.238910,2.5000
1200,40.875638,2.7000
1210,59.528499,3.3000
1220,27.785626,2.3000
1230,28.974363,2.3000
1240,39.977104,2.5000
1250,49.490553,3.3000
1260,48.669849,3.1000
1270,44.910253,3.2000
1280,29.651707,2.6000
1290,45.194056,3.1000
1300,36.984699,2.5000
1310,47.787745,3.2000
1320,43.062531,2.9000
1330,28.418534,2.4000
1340,55.050943,3.3000
1350,33.196497,2.7000
1360,21.147739,1.9000
1370,17.533040,1.6000
1380,17.530242,1.9000
1390,38.517735,2.8000
1400,15.398880,1.6000
1410,26.182590,2.0000
1420,28.050768,2.5000
1430,38.558440,2.8000
1440,17.106116,1.8000
1450,46.099252,2.9000
1460,45.885247,3.0000
1470,50.047142,3.2000
1480,37.521489,2.7000
1490,35.881577,2.8000
1500,45.399689,3.3000
1510,40.693858,2.8000
1520,29.383903,2.5000
1530,31.945011,2.6000
1540,36.271325,2.8000
1550,26.701686,2.3000
1560,37.460901,2.8000
1570,44.117945,3.0000
1580,22.720324,2.2000
1590,38.245633,2.7000
1600,22.278583,2.0000
1610,33.132412,2.4000
1620,30.898317,2.6000
1630,28.914864,2.6000
1640,33.529611,2.6000
1650,29.049656,2.5000
1660,39.234681,2.8000
1670,21.397988,1.9000
1680,16.522427,1.8000
1690,33.564801,2.7000
1700,26.607784,2.2000
1710,30.672404,2.6000
1720,29.316110,2.2000
1730,44.696268,3.2000
1740,25.018747,2.3000
1750,34.404411,2.4000
1760,40.638530,2.8000
1770,30.409602,2.5000
1780,30.290517,2.4000
1790,43.455204,3.0000
1800,30.601792,2.3000
1810,31.743575,2.3000
1820,34.233053,2.8000
1830,35.886129,2.6000
1840,38.428188,2.4000
1850,25.809115,2.0000
1860,30.209288,2.3000
1870,37.709461,2.7000
1880,27.044826,2.5000
1890,38.351610,2.9000
1900,45.555630,3.1000
1910,40.021226,2.9000
1920,24.352503,2.5000
1930,31.278427,2.7000
1940,45.975959,3.2000
1950,40.223794,2.7000
1960,29.384198,2.2000
1970,33.419987,2.6000
1980,33.491652,2.6000
1990,37.478454,2.9000
2000,27.026605,2.3000
2010,28.830641,2.3000
2020,29.213179,2.4000
2030,36.653148,2.5000
2040,37.133156,2.6000
2050,27.251277,2.2000
2060,31.236332,2.5000
2070,32.123227,2.6000
2080,25.166096,2.3000
2090,36.053058,2.5000
2100,31.690300,2.3000
2110,36.724243,2.5000
2120,37.611369,2.8000
2130,36.053307,2.7000
2140,35.171601,2.6000
2150,37.107382,2.6000
2160,36.902000,2.6000
2170,41.230994,2.8000
2180,50.814510,3.2000
2190,42.944471,2.9000
2200,46.158023,3.1000
2210,28.869165,2.6000
2220,45.311197,2.8000
2230,33.308521,2.6000
2240,32.323889,2.2000
2250,24.317299,2.1000
2260,41.961040,2.9000
2270,28.494523,2.5000
2280,32.247544,2.4000
2290,37.964471,2.7000
2300,33.023213,2.5000
2310,45.816279,2.9000
2320,47.371157,2.9000
2330,40.130840,2.9000
2340,44.471023,3.1000
2350,46.057748,3.2000
2360,48.821985,3.1000
2370,32.819181,2.7000
2380,39.313370,2.8000
2390,35.918181,2.8000
2400,45.876087,3.0000
2410,37.722753,2.7000
2420,32.963344,2.3000
2430,31.684086,2.3000
2440,42.010160,3.0000
2450,34.268463,2.9000
2460,22.705485,2.2000
2470,35.553174,2.5000
2480,35.208457,2.6000
2490,48.277307,3.1000
2500,37.172591,2.6000
2510,36.246423,2.7000
2520,41.560903,2.9000
2530,31.935652,2.6000
2540,32.447704,2.4000
2550,27.607478,1.9000
2560,29.140977,2.4000
2570,31.709569,2.6000
2580,34.346990,2.7000
2590,41.617601,2.9000
2600,39.610666,2.7000
2610,55.689833,3.5000
2620,25.650529,2.2000
2630,23.457468,2.1000
2640,60.999045,3.5000
2650,36.243824,2.9000
2660,39.510094,2.9000
2670,42.044521,2.9000
2680,35.526084,2.7000
2690,30.948864,2.6000
2700,32.264824,2.6000
2710,43.411630,2.8000
2720,45.390419,3.1000
2730,40.803927,2.7000
2740,52.096501,3.2000
2750,47.489687,3.2000
2760,47.545360,3.1000
2770,39.362745,2.9000
2780,30.572641,2.4000
2790,38.071487,2.9000
2800,48.112005,3.3000
2810,39.786656,2.8000
2820,48.317884,3.3000
2830,27.009112,2.4000
2840,40.991785,3.0000
2850,38.176709,2.8000
2860,39.472590,2.7000
2870,33.914084,2.5000
2880,32.176614,2.4000
2890,38.701151,2.7000
2900,53.173136,3.3000
2910,47.960534,3.2000
2920,37.597543,3.0000
2930,29.615976,2.5000
2940,38.744654,2.9000
2950,37.682770,2.4000
2960,41.888460,2.8000
2970,29.683250,2.2000
2980,43.472514,2.9000
2990,30.248659,2.4000
3000,31.891684,2.6000
3010,42.303475,3.0000
3020,28.182134,2.4000
3030,32.759174,2.6000
3040,20.538976,1.9000
3050,30.781204,2.6000
3060,41.246691,2.9000
3070,45.563107,3.0000
3080,41.126008,3.0000
3090,36.083765,2.6000
3100,38.013035,2.7000
3110,29.952010,2.4000
3120,42.499826,3.0000
3130,33.723973,2.5000
3140,32.053361,2.5000
3150,28.557507,2.1000
3160,26.822913,2.1000
3170,40.766612,2.8000
3180,40.139274,3.1000
3190,36.370040,2.5000
3200,27.197897,2.5000
3210,31.626795,2.7000
3220,34.442140,2.9000
3230,41.463491,2.9000
3240,34.763678,2.8000
3250,50.906034,3.2000
3260,53.819559,3.4000
3270,33.728743,2.6000
3280,44.541626,3.1000
3290,29.904992,2.7000
3300,24.425634,2.0000
3310,42.044945,2.8000
3320,47.777576,3.0000
3330,41.479539,3.0000
3340,46.650310,3.2000
3350,51.442138,3.3000
3360,56.558587,3.5000
3370,37.676504,2.9000
3380,31.165601,2.5000
3390,47.909903,3.3000
3400,41.178581,3.0000
3410,48.459418,3.0000
3420,52.735528,3.4000
3430,47.918621,3.1000
3440,34.851708,2.7000
3450,25.817329,2.5000
3460,39.595638,2.8000
3470,49.916352,3.2000
3480,30.059009,2.8000
3490,48.579165,3.3000
3500,48.647171,3.2000
3510,35.963647,2.7000
3520,40.689054,3.0000
3530,39.061784,2.9000
3540,54.991208,3.2000
3550,49.347052,3.3000
3560,48.955007,3.3000
3570,35.292674,2.9000
3580,36.662799,2.7000
3590,28.271510,2.4000
3600,22.412957,1.9000
3610,43.723185,3.0000
3620,31.743690,2.7000
3630,30.790322,2.4000
3640,27.719740,2.5000
3650,34.208362,2.6000
3660,42.164578,3.1000
3670,32.188043,2.5000
3680,35.347051,2.5000
3690,31.553324,2.4000
3700,34.362252,2.6000
3710,32.824122,2.6000
3720,40.110275,3.2000
3730,63.196467,3.5000
3740,35.331026,2.6000
3750,44.731612,2.9000
3760,40.252310,3.0000
3770,44.202571,3.0000
3780,47.908265,3.2000
3790,40.578930,2.9000
3800,31.974509,2.7000
3810,30.844832,2.5000
3820,30.297175,2.6000
3830,28.327336,2.3000
3840,30.877547,2.3000
3850,25.673391,2.4000
3860,40.403383,2.8000
3870,41.531949,2.9000
3880,29.931974,2.4000
3890,32.190950,2.6000
3900,49.247060,3.2000
3910,45.468139,3.1000
3920,44.396234,3.1000
3930,36.622994,2.7000
3940,28.135839,1.9000
3950,45.846329,3.0000
3960,34.167262,2.6000
3970,35.556029,2.7000
3980,44.742736,3.1000
3990,37.171436,2.9000
4000,41.703357,2.9000
4010,42.221807,2.9000
4020,40.113104,2.8000
4030,49.100934,3.4000
4040,37.736309,3.0000
4050,41.674816,3.0000
4060,34.332711,2.8000
