2026-03-09 18:32:16,179 | INFO | Episode 10/200 | Avg Reward: -54.80 | Avg Length: 288.40 | Avg Loss: 27.4194 | Avg Found Sources: 0.50 | Avg Found Ratio: 19.83% | Success Rate: 10.00% | Partial Success Rate: 40.00% | Avg Reward Components: conc=0.01, found=0.03, collision=-0.19, battery=-0.00, distance=0.00, stay_found=0.00, success_done=0.20, failure_done=0.00
2026-03-09 18:32:38,589 | INFO | Episode 20/200 | Avg Reward: -41.07 | Avg Length: 270.90 | Avg Loss: 14.2251 | Avg Found Sources: 0.60 | Avg Found Ratio: 19.52% | Success Rate: 10.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.14, battery=-0.00, distance=0.00, stay_found=0.00, success_done=0.02, failure_done=0.00
2026-03-09 18:32:59,091 | INFO | Episode 30/200 | Avg Reward: -27.79 | Avg Length: 261.40 | Avg Loss: 8.3288 | Avg Found Sources: 0.00 | Avg Found Ratio: 0.00% | Success Rate: 0.00% | Partial Success Rate: 0.00% | Avg Reward Components: conc=0.01, found=0.00, collision=-0.10, battery=-0.00, distance=0.00, stay_found=0.00, success_done=0.00, failure_done=0.00
2026-03-09 18:33:19,003 | INFO | Episode 40/200 | Avg Reward: -20.84 | Avg Length: 257.30 | Avg Loss: 6.2823 | Avg Found Sources: 0.20 | Avg Found Ratio: 5.83% | Success Rate: 0.00% | Partial Success Rate: 20.00% | Avg Reward Components: conc=0.03, found=0.00, collision=-0.08, battery=-0.00, distance=0.00, stay_found=0.00, success_done=0.00, failure_done=0.00
2026-03-09 18:33:41,686 | INFO | Episode 50/200 | Avg Reward: -40.41 | Avg Length: 284.50 | Avg Loss: 9.0318 | Avg Found Sources: 0.00 | Avg Found Ratio: 0.00% | Success Rate: 0.00% | Partial Success Rate: 0.00% | Avg Reward Components: conc=0.03, found=0.00, collision=-0.11, battery=-0.00, distance=0.00, stay_found=0.00, success_done=0.00, failure_done=0.00
2026-03-09 18:34:00,375 | INFO | Episode 60/200 | Avg Reward: -8.70 | Avg Length: 246.60 | Avg Loss: 3.0865 | Avg Found Sources: 0.30 | Avg Found Ratio: 4.29% | Success Rate: 0.00% | Partial Success Rate: 20.00% | Avg Reward Components: conc=0.02, found=0.00, collision=-0.05, battery=-0.00, distance=0.00, stay_found=0.00, success_done=0.00, failure_done=0.00
2026-03-09 18:34:19,595 | INFO | Episode 70/200 | Avg Reward: -16.56 | Avg Length: 250.60 | Avg Loss: 4.7306 | Avg Found Sources: 0.10 | Avg Found Ratio: 2.50% | Success Rate: 0.00% | Partial Success Rate: 10.00% | Avg Reward Components: conc=0.02, found=0.00, collision=-0.08, battery=-0.00, distance=0.00, stay_found=0.00, success_done=0.00, failure_done=0.00
2026-03-09 18:34:38,826 | INFO | Episode 80/200 | Avg Reward: -17.90 | Avg Length: 257.40 | Avg Loss: 6.5948 | Avg Found Sources: 0.20 | Avg Found Ratio: 2.86% | Success Rate: 0.00% | Partial Success Rate: 20.00% | Avg Reward Components: conc=0.03, found=0.00, collision=-0.06, battery=-0.00, distance=0.00, stay_found=0.00, success_done=0.00, failure_done=0.00
2026-03-09 18:34:58,007 | INFO | Episode 90/200 | Avg Reward: -44.96 | Avg Length: 252.00 | Avg Loss: 11.9794 | Avg Found Sources: 0.20 | Avg Found Ratio: 3.43% | Success Rate: 0.00% | Partial Success Rate: 20.00% | Avg Reward Components: conc=0.02, found=0.00, collision=-0.11, battery=-0.00, distance=0.00, stay_found=0.00, success_done=0.00, failure_done=0.00
2026-03-09 18:35:15,326 | INFO | Episode 100/200 | Avg Reward: -4.26 | Avg Length: 226.60 | Avg Loss: 1.5017 | Avg Found Sources: 0.30 | Avg Found Ratio: 5.75% | Success Rate: 0.00% | Partial Success Rate: 30.00% | Avg Reward Components: conc=0.02, found=0.00, collision=-0.03, battery=-0.00, distance=0.00, stay_found=0.00, success_done=0.00, failure_done=0.00
2026-03-09 18:35:33,474 | INFO | Episode 110/200 | Avg Reward: 0.48 | Avg Length: 238.10 | Avg Loss: 1.8845 | Avg Found Sources: 0.30 | Avg Found Ratio: 5.33% | Success Rate: 0.00% | Partial Success Rate: 30.00% | Avg Reward Components: conc=0.04, found=0.00, collision=-0.04, battery=-0.00, distance=0.00, stay_found=0.00, success_done=0.00, failure_done=0.00
