episode,avg_reward,avg_found_sources,avg_found_ratio
10,-54.800989,0.5000,0.198333
20,-41.069830,0.6000,0.195238
30,-27.786104,0.0000,0.000000
40,-20.844807,0.2000,0.058333
50,-40.410943,0.0000,0.000000
60,-8.704467,0.3000,0.042857
70,-16.563333,0.1000,0.025000
80,-17.895551,0.2000,0.028571
90,-44.960742,0.2000,0.034286
100,-4.260478,0.3000,0.057500
110,0.477166,0.3000,0.053333
120,-29.406384,0.3000,0.079167
130,-1.597250,0.1000,0.025000
140,-20.140383,0.1000,0.016667
150,-10.635851,0.2000,0.032500
160,3.558783,0.2000,0.026786
170,-3.533440,0.0000,0.000000
180,-44.986089,0.0000,0.000000
190,-7.569742,0.4000,0.147619
200,-40.122044,0.0000,0.000000
