2026-03-11 12:14:44,915 | INFO | Episode 10/8000 | Avg Reward: 7.46 | Avg Length: 687.60 | Avg Loss: 0.9751 | Avg Found Sources: 1.90 | Avg Found Ratio: 34.93% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 12:17:25,794 | INFO | Episode 20/8000 | Avg Reward: -4.86 | Avg Length: 684.40 | Avg Loss: 0.9977 | Avg Found Sources: 1.90 | Avg Found Ratio: 37.33% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 12:19:48,102 | INFO | Episode 30/8000 | Avg Reward: 28.62 | Avg Length: 605.60 | Avg Loss: 520.8577 | Avg Found Sources: 1.40 | Avg Found Ratio: 42.75% | Success Rate: 20.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.03, found=0.13, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=3.02, failure_done=-0.01
2026-03-11 12:22:28,073 | INFO | Episode 40/8000 | Avg Reward: -7.91 | Avg Length: 680.20 | Avg Loss: 1.1476 | Avg Found Sources: 1.60 | Avg Found Ratio: 25.67% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 12:25:10,189 | INFO | Episode 50/8000 | Avg Reward: 26.39 | Avg Length: 613.90 | Avg Loss: 296.4207 | Avg Found Sources: 3.30 | Avg Found Ratio: 63.33% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.12, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=1.20, failure_done=-0.01
2026-03-11 12:28:12,872 | INFO | Episode 60/8000 | Avg Reward: 16.41 | Avg Length: 682.40 | Avg Loss: 1.6255 | Avg Found Sources: 3.90 | Avg Found Ratio: 62.89% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.05, found=0.03, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-11 12:30:55,161 | INFO | Episode 70/8000 | Avg Reward: 7.50 | Avg Length: 668.50 | Avg Loss: 7.0048 | Avg Found Sources: 3.00 | Avg Found Ratio: 66.05% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.02, failure_done=-0.01
2026-03-11 12:33:15,579 | INFO | Episode 80/8000 | Avg Reward: 15.39 | Avg Length: 577.80 | Avg Loss: 32.3495 | Avg Found Sources: 3.10 | Avg Found Ratio: 69.13% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.03, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.13, failure_done=-0.01
2026-03-11 12:34:22,007 | INFO | Episode 90/8000 | Avg Reward: 113.76 | Avg Length: 267.90 | Avg Loss: 376.1399 | Avg Found Sources: 3.90 | Avg Found Ratio: 98.33% | Success Rate: 90.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.17, collision=-0.06, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=1.63, failure_done=-0.00
2026-03-11 12:36:52,926 | INFO | Episode 100/8000 | Avg Reward: 40.30 | Avg Length: 590.00 | Avg Loss: 42.7704 | Avg Found Sources: 3.40 | Avg Found Ratio: 85.30% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.17, failure_done=-0.00
2026-03-12 11:58:54,690 | INFO | Run Config | seed=42 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on
