episode,avg_reward,avg_found_sources,avg_found_ratio
10,1.085529,1.1000,0.307619
20,-8.037100,1.2000,0.304762
30,4.767897,1.2000,0.223333
40,-19.409711,1.4000,0.300952
50,23.154753,2.3000,0.586429
60,4.221871,1.3000,0.506667
70,-8.091755,1.6000,0.462500
80,13.649656,2.4000,0.638095
90,19.972960,3.0000,0.688333
100,13.813038,4.1000,0.744643
110,-17.187498,3.7000,0.642262
120,-3.862627,3.3000,0.655238
130,8.828067,2.5000,0.650000
140,-31.923132,4.1000,0.694762
150,41.486210,3.2000,0.761667
160,23.544980,1.9000,0.586190
170,8.737459,2.9000,0.675714
180,5.798055,2.4000,0.533571
190,19.786547,2.8000,0.638810
200,31.073144,3.0000,0.710000
210,24.355895,2.0000,0.537143
220,37.170135,2.6000,0.700833
10,1.085529,1.1000,0.307619
20,-8.037100,1.2000,0.304762
30,4.767897,1.2000,0.223333
40,-19.409711,1.4000,0.300952
50,23.154753,2.3000,0.586429
60,4.221871,1.3000,0.506667
70,-8.091755,1.6000,0.462500
80,13.649656,2.4000,0.638095
90,19.972960,3.0000,0.688333
100,13.813038,4.1000,0.744643
110,-17.187498,3.7000,0.642262
120,-3.862627,3.3000,0.655238
130,8.828067,2.5000,0.650000
140,-31.923132,4.1000,0.694762
150,41.486210,3.2000,0.761667
160,23.544980,1.9000,0.586190
170,8.737459,2.9000,0.675714
180,5.798055,2.4000,0.533571
190,19.786547,2.8000,0.638810
200,31.073144,3.0000,0.710000
210,24.355895,2.0000,0.537143
220,37.170135,2.6000,0.700833
230,-3.723174,1.6000,0.485000
240,5.025392,3.0000,0.618333
250,21.547489,3.2000,0.632143
260,-0.066438,4.3000,0.748810
270,79.829700,2.8000,0.743333
280,48.222962,3.6000,0.729167
290,21.404649,1.9000,0.530833
300,0.130469,2.3000,0.683333
310,47.464469,3.7000,0.791429
320,-6.848979,2.5000,0.581667
330,30.891220,2.1000,0.501071
340,-3.497740,1.0000,0.234405
350,43.297430,4.1000,0.762143
360,40.849833,3.6000,0.675714
370,17.965904,3.2000,0.662381
380,-0.791378,3.6000,0.723810
390,71.361894,4.7000,0.877381
400,68.833549,3.8000,0.904167
410,91.886596,5.3000,0.910714
420,107.878261,5.3000,0.957143
430,71.528988,4.7000,0.880833
440,51.082239,3.9000,0.915714
450,59.490530,3.3000,0.804762
