2026-03-10 13:23:22,958 | INFO | Episode 10/8000 | Avg Reward: -47.19 | Avg Length: 536.90 | Avg Loss: 2.5672 | Avg Found Sources: 1.80 | Avg Found Ratio: 39.45% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.02, collision=-0.10, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-10 13:25:06,915 | INFO | Episode 20/8000 | Avg Reward: -10.07 | Avg Length: 541.90 | Avg Loss: 1.4799 | Avg Found Sources: 2.00 | Avg Found Ratio: 36.71% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-10 13:26:42,561 | INFO | Episode 30/8000 | Avg Reward: 25.44 | Avg Length: 490.70 | Avg Loss: 518.2199 | Avg Found Sources: 3.20 | Avg Found Ratio: 67.99% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.15, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=3.04, failure_done=-0.01
2026-03-10 13:28:28,761 | INFO | Episode 40/8000 | Avg Reward: 9.47 | Avg Length: 564.20 | Avg Loss: 21.1135 | Avg Found Sources: 1.60 | Avg Found Ratio: 60.83% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.08, failure_done=-0.01
2026-03-10 13:29:59,215 | INFO | Episode 50/8000 | Avg Reward: 84.00 | Avg Length: 478.70 | Avg Loss: 194.8664 | Avg Found Sources: 4.20 | Avg Found Ratio: 87.67% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.10, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.81, failure_done=-0.00
2026-03-10 13:31:37,185 | INFO | Episode 60/8000 | Avg Reward: 40.29 | Avg Length: 533.70 | Avg Loss: 221.6013 | Avg Found Sources: 2.30 | Avg Found Ratio: 60.83% | Success Rate: 30.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.04, found=0.12, collision=-0.06, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=0.87, failure_done=-0.01
2026-03-10 13:32:59,551 | INFO | Episode 70/8000 | Avg Reward: 64.62 | Avg Length: 425.30 | Avg Loss: 235.5124 | Avg Found Sources: 2.70 | Avg Found Ratio: 77.58% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.07, collision=-0.06, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=1.00, failure_done=-0.00
2026-03-10 13:34:49,648 | INFO | Episode 80/8000 | Avg Reward: -5.16 | Avg Length: 584.50 | Avg Loss: 37.1808 | Avg Found Sources: 3.80 | Avg Found Ratio: 69.67% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.14, failure_done=-0.01
2026-03-10 13:36:25,861 | INFO | Episode 90/8000 | Avg Reward: 79.17 | Avg Length: 503.30 | Avg Loss: 49.0710 | Avg Found Sources: 4.30 | Avg Found Ratio: 85.24% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.19, failure_done=-0.00
2026-03-10 13:37:58,644 | INFO | Episode 100/8000 | Avg Reward: 76.74 | Avg Length: 492.90 | Avg Loss: 363.2996 | Avg Found Sources: 4.40 | Avg Found Ratio: 85.71% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.10, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=1.65, failure_done=-0.00
2026-03-10 13:39:39,294 | INFO | Episode 110/8000 | Avg Reward: 60.86 | Avg Length: 543.40 | Avg Loss: 65.5694 | Avg Found Sources: 3.60 | Avg Found Ratio: 84.07% | Success Rate: 60.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.27, failure_done=-0.00
2026-03-10 13:40:53,981 | INFO | Episode 120/8000 | Avg Reward: 82.66 | Avg Length: 395.10 | Avg Loss: 763.1138 | Avg Found Sources: 3.10 | Avg Found Ratio: 88.33% | Success Rate: 70.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.23, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=4.13, failure_done=-0.00
2026-03-10 13:42:50,401 | INFO | Episode 130/8000 | Avg Reward: 26.68 | Avg Length: 601.20 | Avg Loss: 31.1359 | Avg Found Sources: 5.20 | Avg Found Ratio: 87.40% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.11, failure_done=-0.00
2026-03-10 13:44:32,566 | INFO | Episode 140/8000 | Avg Reward: 38.95 | Avg Length: 543.90 | Avg Loss: 316.3024 | Avg Found Sources: 4.00 | Avg Found Ratio: 83.33% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.09, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=1.42, failure_done=-0.00
2026-03-10 13:46:27,234 | INFO | Episode 150/8000 | Avg Reward: 16.44 | Avg Length: 602.60 | Avg Loss: 26.1178 | Avg Found Sources: 4.60 | Avg Found Ratio: 83.10% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.10, failure_done=-0.01
2026-03-10 13:48:16,141 | INFO | Episode 160/8000 | Avg Reward: 22.40 | Avg Length: 585.20 | Avg Loss: 47.2641 | Avg Found Sources: 2.60 | Avg Found Ratio: 73.40% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.19, failure_done=-0.00
