episode,avg_reward,avg_found_sources,avg_found_ratio
10,-47.187651,1.8000,0.394524
20,-10.071597,2.0000,0.367143
30,25.437554,3.2000,0.679881
40,9.473255,1.6000,0.608333
50,84.000631,4.2000,0.876667
60,40.292211,2.3000,0.608333
70,64.621937,2.7000,0.775833
80,-5.158714,3.8000,0.696667
90,79.173068,4.3000,0.852381
100,76.741216,4.4000,0.857143
110,60.863117,3.6000,0.840714
120,82.657057,3.1000,0.883333
130,26.684254,5.2000,0.874048
140,38.953828,4.0000,0.833333
150,16.439463,4.6000,0.830952
160,22.399466,2.6000,0.734048
170,-27.815331,3.0000,0.596190
180,7.499806,3.3000,0.750000
190,38.807984,3.6000,0.689286
200,28.755760,3.6000,0.771429
210,30.826021,4.7000,0.879762
220,64.096940,3.9000,0.796667
230,29.589470,3.9000,0.848333
240,54.903664,4.8000,0.842143
250,24.783084,3.2000,0.765476
260,87.506678,5.2000,0.920833
270,102.381878,4.2000,0.920833
280,86.237045,4.2000,0.856548
290,48.424939,3.0000,0.857381
300,29.760908,3.8000,0.773333
310,21.966001,1.7000,0.625000
320,48.757982,2.7000,0.830000
330,47.499036,3.4000,0.819167
340,70.105199,3.1000,0.761310
350,-13.446373,2.3000,0.529048
360,-5.044872,3.6000,0.725833
370,56.525087,5.0000,0.840833
380,84.145251,5.1000,0.848214
390,67.440103,4.5000,0.915714
400,113.058009,4.8000,0.987500
410,30.300767,5.5000,0.863333
420,94.402627,5.2000,0.847500
430,42.984214,4.4000,0.893333
440,80.034596,5.7000,0.930000
450,65.405571,4.9000,0.835714
460,90.678349,4.7000,0.962500
470,103.860979,3.4000,0.960714
480,65.341055,4.8000,0.872262
490,114.624021,4.8000,0.966667
500,30.633526,4.3000,0.866667
510,72.126028,4.6000,0.888333
520,59.569875,4.5000,0.895833
530,92.882947,3.7000,0.901667
540,61.510814,5.4000,0.920833
550,-14.019435,3.9000,0.858333
560,51.156991,3.9000,0.811905
570,62.641309,4.2000,0.728571
580,72.813176,4.7000,0.863095
590,68.289342,4.1000,0.904167
600,75.701219,4.1000,0.852381
610,40.143756,3.9000,0.800714
620,46.318212,4.4000,0.793095
630,126.606709,5.8000,0.987500
640,54.143691,3.4000,0.875000
650,83.661995,4.3000,0.923214
660,119.958990,4.5000,0.954762
670,90.700216,5.3000,0.882381
680,84.940357,3.1000,0.927381
690,33.544129,4.6000,0.798214
700,78.152443,5.2000,0.925000
710,115.830779,5.6000,0.966667
720,148.523909,4.8000,1.000000
730,117.542672,2.8000,1.000000
740,64.426166,3.3000,0.983333
750,87.565962,4.3000,0.912500
760,95.927434,4.7000,0.970833
770,100.245251,4.5000,0.938333
780,109.191453,3.0000,0.983333
790,85.818247,4.8000,0.915714
800,88.853908,4.7000,0.951429
810,46.998542,5.1000,0.871429
820,64.299479,4.6000,0.923214
830,82.244028,5.2000,0.970833
840,69.835640,4.3000,0.814881
850,119.183484,4.8000,1.000000
860,121.281961,5.4000,0.975000
870,3.772637,4.0000,0.933333
880,57.665301,4.4000,0.860714
890,129.464344,4.6000,0.975000
900,115.196749,3.1000,1.000000
910,135.892856,4.9000,1.000000
920,106.896451,3.4000,0.954167
930,64.145427,3.4000,0.835000
940,125.066259,5.0000,0.933333
950,121.764278,5.7000,0.985714
960,121.580264,4.3000,0.966667
970,113.438790,4.0000,0.954762
980,125.812249,5.4000,0.987500
990,93.895826,4.2000,0.920833
1000,100.329058,3.2000,0.980000
1010,83.601318,4.4000,0.820833
1020,97.129630,4.3000,0.935714
1030,70.690034,3.8000,0.859167
1040,92.943117,3.9000,0.883333
1050,44.120833,5.2000,0.913333
1060,84.249386,3.5000,0.950833
1070,122.751255,5.5000,0.971429
1080,46.070079,4.3000,0.860833
1090,55.317601,3.8000,0.839048
1100,55.962039,4.0000,0.835714
1110,86.456105,3.4000,0.908333
1120,81.884856,4.0000,0.892857
1130,100.048610,3.5000,0.925000
1140,45.649728,3.8000,0.787500
1150,46.510514,4.4000,0.844762
1160,93.911348,3.6000,0.954167
1170,64.702007,4.2000,0.858929
1180,81.379146,3.4000,0.885000
1190,100.699635,3.6000,0.929167
1200,22.722592,4.1000,0.828333
1210,42.922284,3.7000,0.837500
1220,77.356313,3.6000,0.910000
1230,47.178069,4.0000,0.747500
1240,-6.987482,4.1000,0.695238
1250,69.093074,4.4000,0.743333
1260,65.891569,4.7000,0.937500
1270,62.575130,3.5000,0.830000
1280,25.204786,4.8000,0.823333
1290,34.149176,4.4000,0.828095
1300,51.897287,4.1000,0.908214
1310,75.738851,4.0000,0.791667
1320,74.698659,4.3000,0.838333
1330,79.531047,5.0000,0.911310
