2026-03-03 18:47:33,431 | INFO | Episode 10/8000 | Avg Reward: 18.88 | Avg Length: 480.10 | Avg Loss: 7.3028 | Avg Found Sources: 1.50 | Avg Found Ratio: 35.43% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.01, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.03, failure_done=-0.01
2026-03-03 18:48:36,542 | INFO | Episode 20/8000 | Avg Reward: -17.48 | Avg Length: 470.70 | Avg Loss: 1.2357 | Avg Found Sources: 1.40 | Avg Found Ratio: 26.60% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-03 18:49:44,214 | INFO | Episode 30/8000 | Avg Reward: -2.55 | Avg Length: 506.50 | Avg Loss: 2.1851 | Avg Found Sources: 1.90 | Avg Found Ratio: 27.04% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.04, found=0.02, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-03 18:50:43,719 | INFO | Episode 40/8000 | Avg Reward: 9.15 | Avg Length: 449.60 | Avg Loss: 90.7635 | Avg Found Sources: 1.00 | Avg Found Ratio: 40.00% | Success Rate: 20.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.37, failure_done=-0.01
2026-03-03 18:51:51,365 | INFO | Episode 50/8000 | Avg Reward: -1.03 | Avg Length: 507.50 | Avg Loss: 8.0923 | Avg Found Sources: 1.30 | Avg Found Ratio: 34.12% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.03, failure_done=-0.01
2026-03-03 18:52:58,382 | INFO | Episode 60/8000 | Avg Reward: -51.37 | Avg Length: 517.80 | Avg Loss: 2.7735 | Avg Found Sources: 1.40 | Avg Found Ratio: 36.67% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.12, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-03 18:53:51,308 | INFO | Episode 70/8000 | Avg Reward: -0.00 | Avg Length: 399.50 | Avg Loss: 364.9940 | Avg Found Sources: 1.40 | Avg Found Ratio: 45.92% | Success Rate: 20.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.08, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=1.52, failure_done=-0.01
2026-03-03 18:55:00,880 | INFO | Episode 80/8000 | Avg Reward: -2.59 | Avg Length: 528.80 | Avg Loss: 1.2621 | Avg Found Sources: 1.40 | Avg Found Ratio: 23.79% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-03 18:56:15,183 | INFO | Episode 90/8000 | Avg Reward: -18.12 | Avg Length: 551.40 | Avg Loss: 20.5872 | Avg Found Sources: 2.60 | Avg Found Ratio: 57.10% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.02, collision=-0.14, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.07, failure_done=-0.01
2026-03-03 18:57:24,651 | INFO | Episode 100/8000 | Avg Reward: 0.17 | Avg Length: 511.70 | Avg Loss: 370.1200 | Avg Found Sources: 3.00 | Avg Found Ratio: 63.50% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.10, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=1.76, failure_done=-0.01
2026-03-03 18:58:44,450 | INFO | Episode 110/8000 | Avg Reward: 7.55 | Avg Length: 608.30 | Avg Loss: 1.4033 | Avg Found Sources: 2.80 | Avg Found Ratio: 62.55% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-03 18:59:48,573 | INFO | Episode 120/8000 | Avg Reward: -6.29 | Avg Length: 490.10 | Avg Loss: 155.3394 | Avg Found Sources: 1.30 | Avg Found Ratio: 37.00% | Success Rate: 20.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.10, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.63, failure_done=-0.01
2026-03-03 19:01:02,907 | INFO | Episode 130/8000 | Avg Reward: -2.26 | Avg Length: 545.00 | Avg Loss: 21.4775 | Avg Found Sources: 2.70 | Avg Found Ratio: 47.71% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.10, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.08, failure_done=-0.01
2026-03-03 19:02:11,151 | INFO | Episode 140/8000 | Avg Reward: 16.18 | Avg Length: 510.30 | Avg Loss: 35.4778 | Avg Found Sources: 2.70 | Avg Found Ratio: 54.92% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.14, failure_done=-0.01
2026-03-03 19:03:22,294 | INFO | Episode 150/8000 | Avg Reward: -22.33 | Avg Length: 529.00 | Avg Loss: 2.4523 | Avg Found Sources: 3.60 | Avg Found Ratio: 61.39% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-03 19:04:22,730 | INFO | Episode 160/8000 | Avg Reward: 20.59 | Avg Length: 458.40 | Avg Loss: 39.4541 | Avg Found Sources: 2.30 | Avg Found Ratio: 59.40% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.01, found=0.04, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.16, failure_done=-0.01
2026-03-03 19:05:29,801 | INFO | Episode 170/8000 | Avg Reward: 26.13 | Avg Length: 511.90 | Avg Loss: 176.7277 | Avg Found Sources: 3.70 | Avg Found Ratio: 77.79% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.09, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.72, failure_done=-0.01
2026-03-03 19:06:35,829 | INFO | Episode 180/8000 | Avg Reward: 26.19 | Avg Length: 483.60 | Avg Loss: 41.4091 | Avg Found Sources: 3.60 | Avg Found Ratio: 79.17% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.16, failure_done=-0.01
2026-03-03 19:07:41,401 | INFO | Episode 190/8000 | Avg Reward: 38.43 | Avg Length: 484.40 | Avg Loss: 30.5233 | Avg Found Sources: 4.10 | Avg Found Ratio: 79.29% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.12, failure_done=-0.01
2026-03-03 19:08:31,976 | INFO | Episode 200/8000 | Avg Reward: 88.60 | Avg Length: 377.30 | Avg Loss: 85.3125 | Avg Found Sources: 4.00 | Avg Found Ratio: 88.99% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.07, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.35, failure_done=-0.00
2026-03-03 19:09:27,693 | INFO | Episode 210/8000 | Avg Reward: 77.10 | Avg Length: 423.30 | Avg Loss: 801.9893 | Avg Found Sources: 4.30 | Avg Found Ratio: 83.10% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.56, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=12.20, failure_done=-0.00
2026-03-03 19:10:34,563 | INFO | Episode 220/8000 | Avg Reward: 11.61 | Avg Length: 503.00 | Avg Loss: 41.9711 | Avg Found Sources: 3.40 | Avg Found Ratio: 77.64% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.16, failure_done=-0.01
2026-03-03 19:11:37,716 | INFO | Episode 230/8000 | Avg Reward: 49.01 | Avg Length: 479.50 | Avg Loss: 76.6343 | Avg Found Sources: 3.80 | Avg Found Ratio: 81.50% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.06, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.31, failure_done=-0.01
2026-03-03 19:12:35,363 | INFO | Episode 240/8000 | Avg Reward: 48.93 | Avg Length: 414.30 | Avg Loss: 92.8363 | Avg Found Sources: 5.20 | Avg Found Ratio: 86.42% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.09, collision=-0.10, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.36, failure_done=-0.00
2026-03-03 19:13:35,264 | INFO | Episode 250/8000 | Avg Reward: 61.65 | Avg Length: 456.70 | Avg Loss: 69.9524 | Avg Found Sources: 3.90 | Avg Found Ratio: 86.74% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.05, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.29, failure_done=-0.00
2026-03-03 19:14:41,686 | INFO | Episode 260/8000 | Avg Reward: 45.75 | Avg Length: 493.70 | Avg Loss: 43.1920 | Avg Found Sources: 4.60 | Avg Found Ratio: 80.48% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.06, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.17, failure_done=-0.00
2026-03-03 19:15:47,776 | INFO | Episode 270/8000 | Avg Reward: 22.70 | Avg Length: 497.70 | Avg Loss: 404.8009 | Avg Found Sources: 3.00 | Avg Found Ratio: 68.17% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.11, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=2.03, failure_done=-0.01
2026-03-03 19:16:40,010 | INFO | Episode 280/8000 | Avg Reward: 76.44 | Avg Length: 399.20 | Avg Loss: 255.5042 | Avg Found Sources: 4.00 | Avg Found Ratio: 83.33% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.15, collision=-0.03, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=1.02, failure_done=-0.00
2026-03-03 19:17:28,524 | INFO | Episode 290/8000 | Avg Reward: 89.14 | Avg Length: 366.40 | Avg Loss: 142.6735 | Avg Found Sources: 3.30 | Avg Found Ratio: 96.07% | Success Rate: 80.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.08, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.59, failure_done=-0.00
2026-03-03 19:18:32,907 | INFO | Episode 300/8000 | Avg Reward: 54.92 | Avg Length: 491.40 | Avg Loss: 47.3528 | Avg Found Sources: 3.80 | Avg Found Ratio: 82.25% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.19, failure_done=-0.00
2026-03-03 19:19:14,637 | INFO | Episode 310/8000 | Avg Reward: 59.95 | Avg Length: 313.90 | Avg Loss: 329.9397 | Avg Found Sources: 2.70 | Avg Found Ratio: 83.33% | Success Rate: 60.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.13, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=1.36, failure_done=-0.00
2026-03-03 19:20:14,187 | INFO | Episode 320/8000 | Avg Reward: 48.25 | Avg Length: 437.00 | Avg Loss: 122.8221 | Avg Found Sources: 2.60 | Avg Found Ratio: 83.00% | Success Rate: 60.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.11, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.50, failure_done=-0.00
