episode,avg_reward,avg_found_sources
10,14.497907,0.6000
20,17.843178,0.7000
30,-33.206433,0.2000
40,25.708786,0.2000
50,27.620760,0.2000
60,-18.117585,0.3000
70,26.195423,0.1000
80,30.664175,0.2000
90,25.481905,0.2000
100,-1.624836,0.2000
110,26.141528,0.0000
120,-12.110934,0.2000
130,24.613242,0.0000
140,26.777814,0.2000
150,-9.262635,0.0000
160,37.718648,0.2000
170,-10.788228,0.3000
180,-21.664086,0.2000
190,37.845709,0.1000
200,31.155578,0.2000
210,-65.476714,0.1000
220,31.992836,0.3000
230,31.927125,0.1000
240,-16.887240,0.1000
250,7.091442,0.3000
260,32.750250,0.2000
270,26.409697,0.2000
280,28.393827,0.0000
290,-99.095787,0.2000
300,34.896582,0.2000
310,-0.784106,0.2000
320,24.563640,0.2000
330,36.803849,0.4000
340,-96.723032,0.1000
350,26.866597,0.0000
360,-64.352153,0.1000
370,-17.217901,0.2000
380,22.623588,0.0000
390,-60.666706,0.3000
400,-20.476884,0.1000
410,41.642675,0.4000
420,28.312147,0.2000
430,26.481858,0.2000
440,-8.269025,0.1000
450,-16.294254,0.1000
460,28.833548,0.2000
470,24.898923,0.1000
480,37.943099,0.1000
490,32.087873,0.2000
500,28.309828,0.1000
510,-5.112785,0.1000
520,-66.892016,0.5000
530,34.219601,0.2000
540,0.857695,0.1000
550,-53.459583,0.1000
560,31.754385,0.5000
570,-11.328919,0.2000
580,29.280922,0.0000
590,25.930848,0.1000
600,-12.232137,0.5000
610,19.766205,0.0000
620,26.542764,0.0000
630,23.129322,0.1000
640,27.447604,0.3000
650,28.292117,0.2000
660,26.833440,0.1000
670,19.040397,0.0000
680,-8.235236,0.2000
690,26.208506,0.3000
700,-14.197323,0.1000
710,31.367741,0.2000
720,25.254018,0.3000
730,28.776019,0.1000
740,29.289136,0.0000
750,29.479855,0.0000
760,27.777709,0.3000
770,-22.698050,0.1000
780,23.903294,0.1000
790,-51.220263,0.1000
800,35.679788,0.4000
810,28.140099,0.4000
820,-51.361741,0.0000
830,0.793336,0.1000
840,7.143041,0.0000
850,32.270139,0.0000
860,25.773827,0.1000
870,-9.384673,0.0000
880,30.641109,0.0000
890,31.149374,0.3000
900,33.923874,0.1000
910,-61.740034,0.2000
920,-19.955074,0.3000
930,22.821855,0.0000
940,35.840466,0.2000
950,24.715024,0.4000
960,29.450730,0.2000
970,5.174335,0.0000
980,26.210454,0.0000
990,-18.394206,0.1000
10,14.497907,0.6000
20,17.843178,0.7000
30,-33.206433,0.2000
40,25.708786,0.2000
50,27.620760,0.2000
60,-18.117585,0.3000
70,26.195423,0.1000
10,14.497907,0.6000
20,17.843178,0.7000
30,-33.206433,0.2000
40,25.708786,0.2000
50,27.620760,0.2000
60,-18.117585,0.3000
70,26.195423,0.1000
80,30.664175,0.2000
90,25.481905,0.2000
100,-1.624836,0.2000
110,26.141528,0.0000
120,-12.110934,0.2000
130,24.613242,0.0000
140,26.777814,0.2000
150,-9.262635,0.0000
160,37.718648,0.2000
170,-10.788228,0.3000
180,-21.664086,0.2000
190,37.845709,0.1000
200,31.155578,0.2000
210,-65.476714,0.1000
220,31.992836,0.3000
230,31.927125,0.1000
240,-16.887240,0.1000
250,7.091442,0.3000
260,32.750250,0.2000
270,26.409697,0.2000
280,28.393827,0.0000
290,-99.095787,0.2000
300,34.896582,0.2000
310,-0.784106,0.2000
320,24.563640,0.2000
330,36.803849,0.4000
340,-96.723032,0.1000
350,26.866597,0.0000
360,-64.352153,0.1000
370,-17.217901,0.2000
380,22.623588,0.0000
390,-60.666706,0.3000
400,-20.476884,0.1000
410,41.642675,0.4000
420,28.312147,0.2000
430,26.481858,0.2000
440,-8.269025,0.1000
450,-16.294254,0.1000
460,28.833548,0.2000
470,24.898923,0.1000
480,37.943099,0.1000
490,32.087873,0.2000
500,28.309828,0.1000
510,-5.112785,0.1000
520,-66.892016,0.5000
530,34.219601,0.2000
540,0.857695,0.1000
550,-53.459583,0.1000
560,31.754385,0.5000
570,-11.328919,0.2000
580,29.280922,0.0000
590,25.930848,0.1000
600,-12.232137,0.5000
610,19.766205,0.0000
620,26.542764,0.0000
630,23.129322,0.1000
640,27.447604,0.3000
650,28.292117,0.2000
660,26.833440,0.1000
670,19.040397,0.0000
680,-8.235236,0.2000
690,26.208506,0.3000
700,-14.197323,0.1000
710,31.367741,0.2000
720,25.254018,0.3000
730,28.776019,0.1000
740,29.289136,0.0000
750,29.479855,0.0000
760,27.777709,0.3000
770,-22.698050,0.1000
780,23.903294,0.1000
790,-51.220263,0.1000
800,35.679788,0.4000
810,28.140099,0.4000
820,-51.361741,0.0000
830,0.793336,0.1000
840,7.143041,0.0000
850,32.270139,0.0000
860,25.773827,0.1000
870,-9.384673,0.0000
880,30.641109,0.0000
890,31.149374,0.3000
900,33.923874,0.1000
910,-61.740034,0.2000
920,-19.955074,0.3000
930,22.821855,0.0000
940,35.840466,0.2000
950,24.715024,0.4000
960,29.450730,0.2000
970,5.174335,0.0000
980,26.210454,0.0000
990,-18.394206,0.1000
1000,36.564169,0.2000
1010,-59.954563,0.2000
1020,-55.889298,0.1000
1030,33.368321,0.3000
1040,29.108144,0.2000
1050,31.466422,0.2000
1060,-57.189296,0.5000
1070,33.672058,0.1000
1080,35.067948,0.4000
1090,25.809726,0.2000
1100,24.619097,0.0000
1110,-11.987237,0.2000
1120,26.245812,0.0000
1130,24.700250,0.0000
1140,28.931183,0.0000
1150,-58.515197,0.2000
1160,-20.863512,0.1000
