2026-03-11 12:15:35,831 | INFO | Episode 10/8000 | Avg Reward: 79.81 | Avg Length: 446.80 | Avg Loss: 912.3681 | Avg Found Sources: 3.40 | Avg Found Ratio: 88.00% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.09, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=1.47, failure_done=-0.00
2026-03-11 12:18:42,520 | INFO | Episode 20/8000 | Avg Reward: -0.61 | Avg Length: 658.20 | Avg Loss: 2.0300 | Avg Found Sources: 3.90 | Avg Found Ratio: 71.86% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 12:21:08,471 | INFO | Episode 30/8000 | Avg Reward: 75.68 | Avg Length: 504.20 | Avg Loss: 238.3128 | Avg Found Sources: 3.10 | Avg Found Ratio: 81.62% | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.49, failure_done=-0.00
2026-03-11 12:23:41,417 | INFO | Episode 40/8000 | Avg Reward: 35.88 | Avg Length: 524.80 | Avg Loss: 579.5976 | Avg Found Sources: 3.20 | Avg Found Ratio: 73.81% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.06, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.72, failure_done=-0.00
2026-03-11 12:26:26,161 | INFO | Episode 50/8000 | Avg Reward: 43.20 | Avg Length: 521.40 | Avg Loss: 99.5346 | Avg Found Sources: 3.60 | Avg Found Ratio: 74.87% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.18, failure_done=-0.01
2026-03-11 12:29:42,638 | INFO | Episode 60/8000 | Avg Reward: 4.72 | Avg Length: 661.00 | Avg Loss: 1.7557 | Avg Found Sources: 3.40 | Avg Found Ratio: 63.42% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.03, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 12:32:43,607 | INFO | Episode 70/8000 | Avg Reward: 7.51 | Avg Length: 619.90 | Avg Loss: 25.9686 | Avg Found Sources: 2.50 | Avg Found Ratio: 68.33% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.06, failure_done=-0.01
2026-03-11 12:35:39,835 | INFO | Episode 80/8000 | Avg Reward: 23.96 | Avg Length: 597.10 | Avg Loss: 39.9876 | Avg Found Sources: 3.20 | Avg Found Ratio: 69.24% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.09, failure_done=-0.01
2026-03-11 12:38:49,167 | INFO | Episode 90/8000 | Avg Reward: 30.73 | Avg Length: 627.20 | Avg Loss: 25.0531 | Avg Found Sources: 3.50 | Avg Found Ratio: 59.58% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.05, failure_done=-0.01
2026-03-11 20:26:55,938 | INFO | Run Config | seed=42 | marl=mappo | agent=ppo | net=lstm | aux=on@0.200 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4
2026-03-11 20:27:22,453 | INFO | Run Config | seed=42 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4
2026-03-11 20:28:46,270 | INFO | seed=42 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 10/8000 | Avg Reward: 52.08 | Avg Length: 523.00 | Avg Loss: 90.6364 | Avg Found Sources: 3.10 | Avg Found Ratio: 76.33% | Success Rate: 50.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.20, failure_done=-0.00
2026-03-11 20:29:49,654 | INFO | Run Config | seed=42 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4
2026-03-11 20:31:11,598 | INFO | seed=42 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 10/3000 | Avg Reward: 52.08 | Avg Length: 523.00 | Avg Loss: 90.6364 | Avg Found Sources: 3.10 | Avg Found Ratio: 76.33% | Success Rate: 50.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.20, failure_done=-0.00
2026-03-11 20:32:42,660 | INFO | seed=42 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 20/3000 | Avg Reward: 22.79 | Avg Length: 547.20 | Avg Loss: 276.3770 | Avg Found Sources: 3.10 | Avg Found Ratio: 67.74% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.45, failure_done=-0.01
2026-03-11 20:34:09,201 | INFO | seed=42 | marl=mappo | agent=ppo | net=lstm | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | seq=on:16/4 | Episode 30/3000 | Avg Reward: 9.77 | Avg Length: 547.60 | Avg Loss: 812.5602 | Avg Found Sources: 3.10 | Avg Found Ratio: 75.67% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.11, collision=-0.12, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=1.15, failure_done=-0.01
