2026-03-11 13:55:05,252 | INFO | Episode 10/8000 | Avg Reward: 15.34 | Avg Length: 533.40 | Avg Loss: 203.8229 | Avg Found Sources: 2.90 | Avg Found Ratio: 64.04% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.22, failure_done=-0.01
2026-03-11 13:57:07,527 | INFO | Episode 20/8000 | Avg Reward: 19.60 | Avg Length: 555.80 | Avg Loss: 131.5433 | Avg Found Sources: 2.10 | Avg Found Ratio: 57.67% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.16, failure_done=-0.01
2026-03-11 13:59:09,351 | INFO | Episode 30/8000 | Avg Reward: 36.75 | Avg Length: 552.10 | Avg Loss: 101.7844 | Avg Found Sources: 2.60 | Avg Found Ratio: 64.27% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.13, failure_done=-0.01
2026-03-11 14:01:19,146 | INFO | Episode 40/8000 | Avg Reward: 21.14 | Avg Length: 583.60 | Avg Loss: 121.4447 | Avg Found Sources: 3.50 | Avg Found Ratio: 71.00% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.13, failure_done=-0.01
2026-03-11 14:03:20,167 | INFO | Episode 50/8000 | Avg Reward: 27.37 | Avg Length: 543.00 | Avg Loss: 256.4186 | Avg Found Sources: 4.40 | Avg Found Ratio: 76.07% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.08, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.30, failure_done=-0.01
2026-03-11 14:05:24,856 | INFO | Episode 60/8000 | Avg Reward: 32.30 | Avg Length: 570.30 | Avg Loss: 146.2070 | Avg Found Sources: 3.20 | Avg Found Ratio: 71.19% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.16, failure_done=-0.00
2026-03-11 14:07:41,421 | INFO | Episode 70/8000 | Avg Reward: 22.00 | Avg Length: 632.80 | Avg Loss: 56.6983 | Avg Found Sources: 2.40 | Avg Found Ratio: 56.48% | Success Rate: 30.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.06, failure_done=-0.01
2026-03-11 14:09:57,140 | INFO | Episode 80/8000 | Avg Reward: 7.84 | Avg Length: 609.80 | Avg Loss: 74.2291 | Avg Found Sources: 3.90 | Avg Found Ratio: 65.33% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.04, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.08, failure_done=-0.01
2026-03-11 14:11:42,974 | INFO | Episode 90/8000 | Avg Reward: 54.98 | Avg Length: 487.20 | Avg Loss: 1147.8571 | Avg Found Sources: 2.50 | Avg Found Ratio: 78.00% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.24, collision=-0.07, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=2.79, failure_done=-0.00
2026-03-11 14:13:54,730 | INFO | Episode 100/8000 | Avg Reward: 11.25 | Avg Length: 610.60 | Avg Loss: 92.7128 | Avg Found Sources: 3.00 | Avg Found Ratio: 60.35% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.10, failure_done=-0.01
2026-03-11 14:16:11,787 | INFO | Episode 110/8000 | Avg Reward: -14.84 | Avg Length: 617.30 | Avg Loss: 96.8118 | Avg Found Sources: 2.80 | Avg Found Ratio: 49.36% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.10, failure_done=-0.01
2026-03-11 14:18:37,762 | INFO | Episode 120/8000 | Avg Reward: -22.62 | Avg Length: 668.20 | Avg Loss: 5.7054 | Avg Found Sources: 2.30 | Avg Found Ratio: 40.70% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.07, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 14:20:15,995 | INFO | Episode 130/8000 | Avg Reward: 33.73 | Avg Length: 446.40 | Avg Loss: 742.8652 | Avg Found Sources: 2.80 | Avg Found Ratio: 62.14% | Success Rate: 40.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.13, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.70, failure_done=-0.00
2026-03-11 14:22:37,827 | INFO | Episode 140/8000 | Avg Reward: 11.51 | Avg Length: 649.30 | Avg Loss: 27.5833 | Avg Found Sources: 3.10 | Avg Found Ratio: 60.25% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.03, failure_done=-0.01
