2026-03-11 13:55:31,349 | INFO | Episode 10/8000 | Avg Reward: -41.14 | Avg Length: 643.60 | Avg Loss: 27.1252 | Avg Found Sources: 2.90 | Avg Found Ratio: 62.64% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.12, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.02, failure_done=-0.01
2026-03-11 13:57:45,381 | INFO | Episode 20/8000 | Avg Reward: 30.05 | Avg Length: 598.60 | Avg Loss: 94.3517 | Avg Found Sources: 3.10 | Avg Found Ratio: 73.83% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.12, failure_done=-0.01
2026-03-11 13:59:48,648 | INFO | Episode 30/8000 | Avg Reward: -7.68 | Avg Length: 551.50 | Avg Loss: 430.4028 | Avg Found Sources: 2.70 | Avg Found Ratio: 59.17% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.10, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.39, failure_done=-0.01
2026-03-11 14:02:16,929 | INFO | Episode 40/8000 | Avg Reward: -57.93 | Avg Length: 664.90 | Avg Loss: 15.6073 | Avg Found Sources: 3.80 | Avg Found Ratio: 62.52% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.13, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 14:04:14,947 | INFO | Episode 50/8000 | Avg Reward: 18.04 | Avg Length: 522.80 | Avg Loss: 614.0146 | Avg Found Sources: 3.60 | Avg Found Ratio: 77.14% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.07, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.59, failure_done=-0.01
2026-03-11 14:06:27,420 | INFO | Episode 60/8000 | Avg Reward: 5.85 | Avg Length: 603.70 | Avg Loss: 556.4170 | Avg Found Sources: 2.30 | Avg Found Ratio: 47.20% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.03, found=0.08, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.52, failure_done=-0.01
2026-03-11 14:08:27,294 | INFO | Episode 70/8000 | Avg Reward: 11.85 | Avg Length: 542.60 | Avg Loss: 1031.4914 | Avg Found Sources: 2.20 | Avg Found Ratio: 60.08% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.01, found=0.08, collision=-0.04, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=1.61, failure_done=-0.01
2026-03-11 14:10:39,371 | INFO | Episode 80/8000 | Avg Reward: 20.54 | Avg Length: 593.60 | Avg Loss: 99.3905 | Avg Found Sources: 2.80 | Avg Found Ratio: 52.74% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.12, failure_done=-0.01
2026-03-11 14:13:00,707 | INFO | Episode 90/8000 | Avg Reward: 9.86 | Avg Length: 637.10 | Avg Loss: 49.3991 | Avg Found Sources: 3.50 | Avg Found Ratio: 63.49% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.06, failure_done=-0.01
2026-03-11 14:15:29,558 | INFO | Episode 100/8000 | Avg Reward: -6.38 | Avg Length: 680.70 | Avg Loss: 3.2456 | Avg Found Sources: 2.50 | Avg Found Ratio: 38.45% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 14:17:59,014 | INFO | Episode 110/8000 | Avg Reward: -61.24 | Avg Length: 688.20 | Avg Loss: 13.7012 | Avg Found Sources: 2.30 | Avg Found Ratio: 45.55% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.12, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
