episode,avg_reward,avg_found_sources,avg_found_ratio
10,-41.139834,2.9000,0.626429
20,30.051927,3.1000,0.738333
30,-7.684350,2.7000,0.591667
40,-57.930083,3.8000,0.625238
50,18.039609,3.6000,0.771429
60,5.846972,2.3000,0.472024
70,11.854036,2.2000,0.600833
80,20.540118,2.8000,0.527381
90,9.856043,3.5000,0.634881
100,-6.380656,2.5000,0.384524
110,-61.238953,2.3000,0.455476
120,-15.204444,1.5000,0.368333
130,-15.510698,1.5000,0.323333
140,-26.704312,1.3000,0.197024
150,-6.664319,1.7000,0.338690
160,-31.971157,1.3000,0.286429
170,15.631311,1.1000,0.433333
180,5.925232,1.2000,0.436905
190,-12.111427,1.6000,0.333333
200,-21.097644,1.7000,0.356667
210,-29.423345,1.7000,0.342262
220,-7.585454,1.2000,0.355833
230,26.674211,2.1000,0.485119
240,24.061981,2.8000,0.541786
250,21.489799,1.7000,0.359643
260,13.367422,2.8000,0.450595
270,-13.618559,1.8000,0.335476
280,23.283648,1.8000,0.349167
290,-16.687157,2.3000,0.475000
300,-1.655063,2.5000,0.478810
310,-51.295213,1.8000,0.404167
320,10.493565,2.1000,0.402500
330,2.348504,1.2000,0.357143
340,13.603081,1.4000,0.214286
350,-52.953663,0.9000,0.157857
360,-33.124903,0.7000,0.225000
370,-7.735216,1.8000,0.342262
380,1.879955,2.2000,0.516667
390,3.620980,3.1000,0.611548
400,3.940717,2.9000,0.564167
410,9.803802,1.8000,0.354167
420,9.825345,1.8000,0.402500
430,7.082230,1.8000,0.396786
440,-39.356937,1.4000,0.279167
450,-35.263554,1.5000,0.278095
460,21.157288,1.6000,0.457143
470,10.182783,2.1000,0.347857
480,12.953644,1.2000,0.433333
490,20.050160,1.7000,0.449167
500,22.643600,1.6000,0.403810
510,31.303267,1.5000,0.536667
520,5.172603,1.3000,0.302738
530,-33.801895,1.5000,0.287381
540,10.475569,1.6000,0.290000
550,-16.019231,1.8000,0.352619
560,-12.867334,0.9000,0.250000
570,-120.578455,1.5000,0.225000
580,-2.865939,1.6000,0.353333
590,-40.972873,1.6000,0.359524
600,-20.839177,2.2000,0.415000
610,10.798709,2.3000,0.486310
620,-19.028153,2.2000,0.495476
630,-4.177809,1.9000,0.427143
640,-3.602568,2.0000,0.327381
650,-56.890226,1.7000,0.295833
660,-43.499723,1.8000,0.317857
670,30.357588,1.9000,0.550000
680,-1.545686,1.4000,0.373810
690,-3.644533,1.2000,0.370000
700,-3.301475,1.6000,0.296071
710,-19.596454,0.8000,0.133452
720,-54.991897,1.0000,0.275000
730,25.246321,1.2000,0.310476
740,-43.715236,1.1000,0.180000
750,-17.944731,1.2000,0.270238
760,-23.266816,0.8000,0.175000
770,-86.073180,2.0000,0.266429
780,-41.449652,1.4000,0.282738
790,-14.482144,1.0000,0.270833
800,-41.099910,0.8000,0.141071
810,-20.262103,1.4000,0.200000
820,37.100117,1.5000,0.396310
830,-18.381930,0.9000,0.210833
840,-45.140262,0.7000,0.192619
850,-28.359668,0.8000,0.220000
860,0.601070,1.4000,0.323333
870,-24.555465,0.6000,0.200000
880,-44.078872,1.8000,0.298333
890,-2.267996,1.0000,0.166667
900,-9.955137,1.5000,0.289405
910,-15.091940,1.1000,0.220000
920,-7.171121,1.4000,0.358333
930,8.405774,2.8000,0.608333
940,38.154575,2.5000,0.618571
950,1.347523,2.4000,0.404167
960,-12.487600,1.4000,0.307738
970,-4.443611,1.2000,0.314762
980,-16.378960,0.8000,0.153571
990,-12.831946,2.5000,0.498571
1000,-6.379928,1.3000,0.303810
1010,-54.568127,2.8000,0.525000
1020,3.925569,2.1000,0.438810
1030,29.480873,2.4000,0.582024
1040,8.873007,2.5000,0.374524
1050,-19.188668,1.8000,0.360476
1060,6.021399,2.5000,0.525238
1070,-30.491082,2.4000,0.494881
1080,-26.833601,1.6000,0.486667
1090,10.373766,2.0000,0.583333
1100,-42.503530,2.1000,0.357381
1110,14.374994,1.6000,0.302619
1120,-2.454965,1.4000,0.235238
1130,-2.304333,1.9000,0.365476
1140,-32.969601,1.8000,0.358452
1150,6.303245,0.9000,0.282738
1160,-7.322587,2.2000,0.358333
1170,-1.153310,1.0000,0.257500
1180,-8.264964,1.2000,0.262857
1190,-24.057799,0.6000,0.117619
1200,-47.822692,0.8000,0.210000
1210,4.201022,1.3000,0.321190
1220,7.688071,1.5000,0.366667
1230,-3.639691,1.9000,0.413095
1240,11.291574,2.2000,0.574167
1250,6.308272,3.1000,0.560238
1260,1.119215,2.9000,0.460595
1270,-13.482280,1.9000,0.485833
1280,-3.748378,2.1000,0.343929
1290,18.153092,1.7000,0.322024
1300,-10.399877,1.5000,0.377857
1310,39.576064,2.2000,0.427619
1320,5.177050,0.9000,0.174524
1330,21.462283,1.7000,0.429167
1340,3.412717,1.4000,0.301667
1350,-10.837398,1.4000,0.327619
1360,-42.536661,1.6000,0.328571
1370,6.028040,1.3000,0.212262
1380,-12.196550,1.2000,0.286667
1390,22.185629,1.9000,0.481667
1400,-6.243624,1.1000,0.295357
1410,-19.638813,1.5000,0.365000
1420,-32.763835,1.4000,0.283333
1430,-41.577422,1.8000,0.409167
1440,-23.786773,1.7000,0.291667
1450,2.105675,1.5000,0.254167
1460,-48.641807,1.9000,0.370833
1470,-6.168354,1.2000,0.314405
1480,58.234759,1.9000,0.350595
1490,-0.833208,2.3000,0.512857
1500,17.888762,2.1000,0.481548
1510,30.098402,3.5000,0.528929
1520,30.779274,3.0000,0.523214
1530,4.529189,2.3000,0.530000
1540,7.532776,1.8000,0.564762
1550,7.474271,1.8000,0.452500
1560,24.416263,2.1000,0.425000
1570,-9.860182,2.7000,0.500833
