episode,avg_reward
10,-16.160424
20,21.648785
30,28.952768
40,24.255556
50,22.937160
60,20.563319
70,21.396510
80,26.559545
90,24.871696
100,27.412745
110,24.910173
120,29.984583
130,-14.940894
140,18.481195
150,-22.732877
160,-15.484818
170,25.769954
180,-16.653689
190,22.108810
200,17.242596
210,29.443446
220,24.413208
230,21.441261
240,28.695038
250,29.354127
260,22.695178
270,21.678610
280,21.624656
290,19.927885
300,31.053834
310,29.733053
320,23.439479
330,24.314474
340,30.563634
350,20.043515
360,-17.816136
370,24.468502
380,21.967660
390,18.519503
400,26.679007
410,21.087535
420,33.464342
430,21.055573
440,24.333596
450,20.694261
460,21.996555
470,34.076812
480,22.423218
490,-21.934097
500,22.536377
510,26.319282
520,26.203929
530,24.772184
540,23.864294
550,24.474732
560,30.552252
570,20.744305
580,22.462552
590,24.597983
600,24.445651
610,23.387827
620,-17.402299
630,24.784944
640,23.531270
650,25.905359
660,26.726562
670,-19.800579
680,22.173439
690,24.114776
700,18.163386
710,27.436627
720,18.831788
730,25.336145
740,-6.593631
750,22.414399
760,22.764754
770,21.051932
780,23.734688
790,28.691272
800,21.247915
810,29.393881
820,24.673991
830,31.443870
840,12.251305
850,15.204978
860,18.565946
870,15.750320
880,24.419921
890,26.909817
900,25.187905
910,20.116512
920,24.063032
930,25.228769
940,22.214316
950,23.758027
960,14.341913
970,27.109338
980,19.344209
990,25.295200
1000,16.296804
1010,19.608907
1020,24.093400
1030,21.929993
1040,18.839307
1050,25.067332
1060,24.711330
1070,25.740218
1080,29.935154
1090,18.820677
1100,32.133879
1110,27.948977
1120,24.556798
1130,28.645662
1140,24.247643
1150,21.237494
1160,25.616504
1170,25.424262
1180,10.202359
1190,28.334890
1200,26.349248
1210,23.531003
1220,5.476839
1230,24.188867
1240,16.145701
1250,25.316082
1260,18.345069
1270,21.258379
1280,15.401883
1290,12.622966
1300,21.145583
1310,22.094047
1320,23.023081
1330,25.184181
1340,24.132985
1350,8.177189
1360,22.872372
1370,27.964198
1380,8.788293
1390,-6.775054
1400,-21.363947
1410,19.775439
1420,24.027128
1430,25.836698
1440,28.601843
1450,26.095667
1460,26.883413
1470,18.807956
1480,5.649785
1490,29.731488
1500,27.867533
1510,-0.019968
1520,26.305721
1530,22.610559
1540,23.986662
1550,31.930610
1560,27.071415
1570,29.002462
1580,31.849135
1590,5.550859
1600,28.522498
1610,28.918127
1620,25.720683
1630,26.143416
1640,22.370065
1650,24.556018
1660,24.620455
1670,30.225161
1680,18.975667
1690,22.740503
1700,27.963511
1710,39.426363
1720,23.878278
1730,26.918944
1740,28.089800
1750,33.803914
1760,25.180441
1770,31.556055
1780,31.685387
1790,35.510794
1800,25.669920
1810,27.096613
1820,27.173148
1830,17.231083
1840,14.843838
1850,29.906612
1860,-19.287836
1870,33.205244
1880,8.791654
1890,24.883125
1900,26.462831
1910,25.870239
1920,23.121580
1930,29.617825
1940,-9.148336
1950,16.454476
1960,26.800418
1970,1.975438
1980,24.066291
