2026-03-14 11:35:51,594 | INFO | Run Config | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on
2026-03-14 11:36:54,349 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 10/3000 | Avg Reward: 2.03 | Avg Length: 901.10 | Avg Loss: 320.9035 | Avg Found Sources: 1.00 | Avg Found Ratio: 27.50% | Success Rate: 10.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.01, found=0.05, collision=-0.03, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=1.09, failure_done=0.00
2026-03-14 11:37:54,535 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 20/3000 | Avg Reward: -10.75 | Avg Length: 1000.00 | Avg Loss: 10.5928 | Avg Found Sources: 1.10 | Avg Found Ratio: 23.33% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=0.00
2026-03-14 11:38:57,117 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 30/3000 | Avg Reward: -40.43 | Avg Length: 1000.00 | Avg Loss: 2.6200 | Avg Found Sources: 1.00 | Avg Found Ratio: 20.30% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.00, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=0.00
2026-03-14 11:39:52,964 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 40/3000 | Avg Reward: -15.89 | Avg Length: 901.20 | Avg Loss: 234.9258 | Avg Found Sources: 1.20 | Avg Found Ratio: 37.50% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=1.00, failure_done=0.00
2026-03-14 11:40:56,198 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 50/3000 | Avg Reward: -28.95 | Avg Length: 1000.00 | Avg Loss: 1.4511 | Avg Found Sources: 0.90 | Avg Found Ratio: 11.85% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.02, found=0.00, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=0.00
2026-03-14 11:41:53,062 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 60/3000 | Avg Reward: -7.27 | Avg Length: 901.70 | Avg Loss: 165.7070 | Avg Found Sources: 1.40 | Avg Found Ratio: 37.75% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.71, failure_done=0.00
2026-03-14 11:42:55,299 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 70/3000 | Avg Reward: 2.46 | Avg Length: 1000.00 | Avg Loss: 1.0831 | Avg Found Sources: 0.70 | Avg Found Ratio: 15.17% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.03, found=0.00, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=0.00
2026-03-14 11:43:50,045 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 80/3000 | Avg Reward: 14.43 | Avg Length: 901.90 | Avg Loss: 153.4502 | Avg Found Sources: 0.90 | Avg Found Ratio: 24.29% | Success Rate: 10.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.01, found=0.03, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.63, failure_done=0.00
2026-03-14 11:44:44,817 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 90/3000 | Avg Reward: 34.93 | Avg Length: 900.40 | Avg Loss: 510.1545 | Avg Found Sources: 1.20 | Avg Found Ratio: 30.83% | Success Rate: 10.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.13, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=3.00, failure_done=0.00
2026-03-14 11:45:46,307 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 100/3000 | Avg Reward: 7.43 | Avg Length: 1000.00 | Avg Loss: 0.2718 | Avg Found Sources: 0.70 | Avg Found Ratio: 14.42% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.01, found=0.00, collision=-0.00, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=0.00
2026-03-14 11:46:47,260 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 110/3000 | Avg Reward: 18.84 | Avg Length: 1000.00 | Avg Loss: 0.4090 | Avg Found Sources: 1.70 | Avg Found Ratio: 33.79% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.00, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=0.00
